"","Grid","Continent"
"1838",1838,"North America"
"1839",1839,"North America"
"1840",1840,"North America"
"1841",1841,"North America"
"1843",1843,"North America"
"1844",1844,"North America"
"1845",1845,"North America"
"1846",1846,"North America"
"1847",1847,"North America"
"1848",1848,"North America"
"1849",1849,"North America"
"1850",1850,"North America"
"1851",1851,"North America"
"1852",1852,"North America"
"1853",1853,"North America"
"1854",1854,"North America"
"1855",1855,"North America"
"1856",1856,"North America"
"1867",1867,"North America"
"1868",1868,"North America"
"1869",1869,"North America"
"1870",1870,"North America"
"1871",1871,"North America"
"1872",1872,"North America"
"1873",1873,"North America"
"1874",1874,"North America"
"1875",1875,"North America"
"1876",1876,"North America"
"1877",1877,"North America"
"1878",1878,"North America"
"1879",1879,"North America"
"1880",1880,"North America"
"1881",1881,"North America"
"1882",1882,"North America"
"1883",1883,"North America"
"1884",1884,"North America"
"1885",1885,"North America"
"1886",1886,"North America"
"1887",1887,"North America"
"1888",1888,"North America"
"1889",1889,"North America"
"1890",1890,"North America"
"1891",1891,"North America"
"1892",1892,"North America"
"1893",1893,"North America"
"1894",1894,"North America"
"1895",1895,"North America"
"1896",1896,"North America"
"1897",1897,"North America"
"1898",1898,"North America"
"1899",1899,"North America"
"1900",1900,"North America"
"1901",1901,"North America"
"1902",1902,"North America"
"1903",1903,"North America"
"1904",1904,"North America"
"1905",1905,"North America"
"1906",1906,"North America"
"1907",1907,"North America"
"1908",1908,"North America"
"1909",1909,"North America"
"1910",1910,"North America"
"1911",1911,"North America"
"1912",1912,"North America"
"1913",1913,"North America"
"1914",1914,"North America"
"1915",1915,"North America"
"1916",1916,"North America"
"1917",1917,"North America"
"1918",1918,"North America"
"1919",1919,"North America"
"1920",1920,"North America"
"1958",1958,"Eurasia"
"1959",1959,"Eurasia"
"1960",1960,"Eurasia"
"1962",1962,"Eurasia"
"1964",1964,"Eurasia"
"1965",1965,"Eurasia"
"1969",1969,"Eurasia"
"1970",1970,"Eurasia"
"1971",1971,"Eurasia"
"1972",1972,"Eurasia"
"1973",1973,"Eurasia"
"1974",1974,"Eurasia"
"1975",1975,"Eurasia"
"2036",2036,"Eurasia"
"2058",2058,"Eurasia"
"2059",2059,"Eurasia"
"2060",2060,"Eurasia"
"2061",2061,"Eurasia"
"2062",2062,"Eurasia"
"2063",2063,"Eurasia"
"2064",2064,"Eurasia"
"2252",2252,"North America"
"2253",2253,"North America"
"2254",2254,"North America"
"2255",2255,"North America"
"2256",2256,"North America"
"2259",2259,"North America"
"2264",2264,"North America"
"2265",2265,"North America"
"2266",2266,"North America"
"2267",2267,"North America"
"2268",2268,"North America"
"2269",2269,"North America"
"2270",2270,"North America"
"2271",2271,"North America"
"2273",2273,"North America"
"2274",2274,"North America"
"2275",2275,"North America"
"2276",2276,"North America"
"2278",2278,"North America"
"2279",2279,"North America"
"2280",2280,"North America"
"2281",2281,"North America"
"2282",2282,"North America"
"2283",2283,"North America"
"2284",2284,"North America"
"2285",2285,"North America"
"2286",2286,"North America"
"2293",2293,"North America"
"2294",2294,"North America"
"2295",2295,"North America"
"2296",2296,"North America"
"2297",2297,"North America"
"2298",2298,"North America"
"2299",2299,"North America"
"2300",2300,"North America"
"2301",2301,"North America"
"2302",2302,"North America"
"2303",2303,"North America"
"2304",2304,"North America"
"2305",2305,"North America"
"2306",2306,"North America"
"2307",2307,"North America"
"2308",2308,"North America"
"2309",2309,"North America"
"2310",2310,"North America"
"2311",2311,"North America"
"2312",2312,"North America"
"2313",2313,"North America"
"2314",2314,"North America"
"2315",2315,"North America"
"2316",2316,"North America"
"2317",2317,"North America"
"2318",2318,"North America"
"2319",2319,"North America"
"2320",2320,"North America"
"2321",2321,"North America"
"2322",2322,"North America"
"2323",2323,"North America"
"2324",2324,"North America"
"2325",2325,"North America"
"2326",2326,"North America"
"2327",2327,"North America"
"2328",2328,"North America"
"2329",2329,"North America"
"2330",2330,"North America"
"2331",2331,"North America"
"2332",2332,"North America"
"2333",2333,"North America"
"2334",2334,"North America"
"2335",2335,"North America"
"2336",2336,"North America"
"2337",2337,"North America"
"2338",2338,"North America"
"2339",2339,"North America"
"2340",2340,"North America"
"2341",2341,"North America"
"2342",2342,"North America"
"2343",2343,"North America"
"2344",2344,"North America"
"2345",2345,"North America"
"2346",2346,"North America"
"2347",2347,"North America"
"2348",2348,"North America"
"2349",2349,"North America"
"2350",2350,"North America"
"2351",2351,"North America"
"2353",2353,"North America"
"2391",2391,"Eurasia"
"2392",2392,"Eurasia"
"2393",2393,"Eurasia"
"2394",2394,"Eurasia"
"2396",2396,"Eurasia"
"2397",2397,"Eurasia"
"2398",2398,"Eurasia"
"2399",2399,"Eurasia"
"2400",2400,"Eurasia"
"2401",2401,"Eurasia"
"2402",2402,"Eurasia"
"2497",2497,"Eurasia"
"2498",2498,"Eurasia"
"2499",2499,"Eurasia"
"2500",2500,"Eurasia"
"2501",2501,"Eurasia"
"2502",2502,"Eurasia"
"2671",2671,"North America"
"2673",2673,"North America"
"2674",2674,"North America"
"2675",2675,"North America"
"2676",2676,"North America"
"2688",2688,"North America"
"2689",2689,"North America"
"2693",2693,"North America"
"2706",2706,"North America"
"2707",2707,"North America"
"2708",2708,"North America"
"2709",2709,"North America"
"2710",2710,"North America"
"2711",2711,"North America"
"2712",2712,"North America"
