tax_genus
Acanthophoenix
Acoelorrhaphe
Acrocomia
Actinokentia
Actinorhytis
Adonidia
Aiphanes
Allagoptera
Aloe
Aphandra
Archontophoenix
Areca
Arenga
Asterogyne
Astrocaryum
Attalea
Bactris
Balaka
Barbacenia
Basselinia
Beaucarnea
Beccariophoenix
Bentinckia
Bismarckia
Borassodendron
Borassus
Brahea
Brassiophoenix
Burretiokentia
Butia
Calamus
Calyptrocalyx
Calyptrogyne
Calyptronoma
Carpentaria
Carpoxylon
Caryota
Ceroxylon
Chamaedorea
Chamaerops
Chambeyronia
Chelyocarpus
Chuniophoenix
Clinosperma
Clinostigma
Coccothrinax
Cocos
Colpothrinax
Copernicia
Cordyline
Corypha
Cryosophila
Cyphokentia
Cyphophoenix
Cyphosperma
Cyrtostachys
Daemonorops
Dasylirion
Deckenia
Desmoncus
Dictyocaryum
Dictyosperma
Dieffenbachia
Dracaena
Dransfieldia
Drymophloeus
Dypsis
Elaeis
Eremospatha
Eugeissona
Euterpe
Furcraea
Gaussia
Geonoma
Guihaia
Hedyscepe
Hemithrinax
Heterospathe
Howea
Hydriastele
Hyophorbe
Hyospathe
Hyphaene
Iriartea
Iriartella
Itaya
Juania
Jubaea
Jubaeopsis
Kentiopsis
Kerriodoxa
Kingia
Laccospadix
Latania
Lemurophoenix
Leopoldinia
Lepidocaryum
Leucothrinax
Licuala
Linospadix
Livistona
Lodoicea
Loxococcus
Lytocaryum
Manicaria
Marojejya
Martellidendron
Masoala
Mauritia
Mauritiella
Maxburretia
Medemia
Metroxylon
Nannorrhops
Nenga
Neoveitchia
Nephrosperma
Nolina
Normanbya
Nypa
Oenocarpus
Oncosperma
Orania
Oraniopsis
Pandanus
Parajubaea
Pelagodoxa
Phenakospermum
Phoenicophorium
Phoenix
Pholidocarpus
Pholidostachys
Physokentia
Phytelephas
Pigafetta
Pinanga
Plectocomia
Ponapea
Prestoea
Pritchardia
Pseudophoenix
Ptychococcus
Ptychosperma
Raphia
Ravenala
Ravenea
Reinhardtia
Rhapis
Rhodospatha
Rhopaloblaste
Rhopalostylis
Roscheria
Roystonea
Sabal
Salacca
Sararanga
Saribus
Satakentia
Satranala
Schippia
Serenoa
Socratea
Syagrus
Synechanthus
Tahina
Tectiphiala
Thrinax
Trachycarpus
Trithrinax
Veitchia
Vellozia
Verschaffeltia
Voanioala
Wallichia
Washingtonia
Welfia
Wettinia
Wodyetia
Xanthorrhoea
Xerophyta
Yucca
Zombia
