grid_id,n,metrics,value
32667,58,pd,4305.6145260032
1043,1,pd,0
34035,730,pd,20262.0735616136
45920,1689,pd,31457.6689747068
19102,39,pd,1912.819359
15445,25,pd,1244.237257
54378,92,pd,4061.535359005
27125,390,pd,11784.819124315
11916,36,pd,1936.729722
32666,60,pd,4370.3364340032
14183,13,pd,483.54181300000005
52949,173,pd,6661.3533390334
50918,266,pd,9295.099725524
24284,87,pd,4654.076889006
9478,5,pd,277.109537
32673,56,pd,4251.1118430062
15186,25,pd,910.961877
42485,982,pd,22079.559526575402
12508,3,pd,231.72844299999997
26670,52,pd,3324.443832
40322,1145,pd,25286.1034771692
48974,732,pd,19643.1667800784
38687,108,pd,5861.0843695182
44633,1119,pd,23641.6707061222
16765,17,pd,628.881658
29174,37,pd,2921.7240620064
16970,23,pd,674.642742
27893,30,pd,2519.6262760064
35771,302,pd,12412.9922956456
17121,33,pd,2264.2064490000002
48109,701,pd,18982.9086845722
14604,18,pd,670.661939
14173,12,pd,462.06313700000004
49419,568,pd,16727.6638605522
20231,11,pd,836.730504
32618,54,pd,3826.7886510032
8323,2,pd,92.09827599999998
5102,1,pd,0
7373,4,pd,231.85342699999995
46796,1054,pd,22744.1713850804
4915,1,pd,0
26586,34,pd,2707.7797110032
11634,3,pd,269.60979199999997
28817,113,pd,5964.0964648248
27107,60,pd,3638.575255
29585,41,pd,3040.1042310032
30014,46,pd,3491.0833800032
7748,1,pd,0
45485,1480,pd,29679.0233506182
40734,1763,pd,34424.0155965758
39583,69,pd,4504.0917340060005
2337,1,pd,0
15524,4,pd,339.407316
38699,70,pd,4364.1400245062005
27918,37,pd,3074.2954290032
12407,9,pd,677.945904
58898,149,pd,7087.3476150186
22379,17,pd,843.450469
12783,28,pd,1661.0280480000001
25844,116,pd,5517.237678
9453,4,pd,14.967161
2301,1,pd,0
10240,7,pd,646.2819049999999
13481,6,pd,351.246978
51984,470,pd,15334.1799345606
17508,204,pd,6907.3571389032
5366,1,pd,0
35530,121,pd,6244.036516011
24849,53,pd,3836.2559990032
37381,104,pd,5750.0827375152
8064,3,pd,361.803379
24317,129,pd,6117.00817941
22281,90,pd,4621.2424280032
43429,803,pd,19691.163359585
5361,1,pd,0
17498,189,pd,6701.5467984
19322,13,pd,1198.3693660000001
43763,1644,pd,29878.6737691416
45702,436,pd,13481.9281878768
41614,1121,pd,25077.9125476354
7820,6,pd,270.015903
10238,5,pd,522.477025
44217,1160,pd,23944.5625800668
46475,202,pd,8277.6709420336
16351,11,pd,696.446642
39123,78,pd,4966.3451215092
19242,143,pd,5413.7864013062
14537,35,pd,1863.547427
41717,179,pd,7619.8714005224
1001,1,pd,0
37356,166,pd,7370.8507885214
59579,184,pd,6497.459129002
16792,10,pd,581.466571
27527,90,pd,5231.4405030062
8921,2,pd,244.810184
41281,159,pd,6975.1100925204
23535,145,pd,6524.452138003
32681,57,pd,4274.9982700032
60406,126,pd,4462.609780003
54385,86,pd,4508.487388003
48112,580,pd,16882.9507005582
18814,121,pd,4687.1286964032
12809,11,pd,1135.4938769999999
48626,100,pd,5575.7835765276
28757,33,pd,2722.4838600064
25283,48,pd,3509.8912620032
10622,21,pd,1398.333174
17220,17,pd,1004.853345
35199,78,pd,4649.588890003
9375,3,pd,355.958192
10873,10,pd,348.872549
24036,54,pd,3397.186782
29248,99,pd,5381.1746678188
62164,158,pd,5835.849863
30545,157,pd,7593.17585284
47329,123,pd,6128.4246010214
52644,122,pd,5184.029239005
29735,333,pd,11775.5007521056
24004,93,pd,5104.7071310062
8571,1,pd,0
53960,225,pd,8532.6415690232
26566,45,pd,3381.05214
32743,726,pd,19956.5566416922
27048,40,pd,3422.2936080032
11636,2,pd,231.57112999999998
134,1,pd,0
7044,1,pd,0
16212,183,pd,6714.2325149
56543,64,pd,3489.1063990019998
35969,820,pd,22736.2727699112
39562,72,pd,4582.0750595062
24915,42,pd,3281.0309898
29234,37,pd,2974.5419890032
16235,73,pd,3162.228677
47007,438,pd,14642.2388376808
66660,10,pd,1007.800342
7016,1,pd,0
30935,47,pd,3935.2265720032
22720,86,pd,4294.2783500032
29246,80,pd,4815.7885198128
54575,169,pd,7043.9929480286
27882,36,pd,2826.2960950064
40882,59,pd,3933.045850003
49386,801,pd,20297.1552930754
23400,151,pd,6477.85776
36510,88,pd,5008.1197495122
25597,229,pd,8820.195440909
13628,138,pd,5020.0048764
38245,128,pd,6477.1498585152
11586,6,pd,365.589336
65794,21,pd,1732.385751
22684,131,pd,6266.6356867062
7525,1,pd,0
12627,7,pd,288.162755
39543,181,pd,8152.4124925192
29625,34,pd,2857.1198550064
28766,39,pd,3069.9835470064
38270,76,pd,4712.2830475062
4922,1,pd,0
54808,91,pd,4115.188937002
16533,19,pd,753.5454100000001
47878,100,pd,5937.0627355292
18820,102,pd,4113.0944358032
55017,477,pd,15549.7967655646
33538,60,pd,4310.0197460062
21913,35,pd,1923.238718
33057,53,pd,3550.2929785032
40855,122,pd,6356.0959795092
8285,3,pd,0.43961
47245,684,pd,18780.6751090722
31329,53,pd,3708.8241220064
47262,602,pd,17742.327335557202
50688,792,pd,20331.4299855662
19086,78,pd,2856.835983
15409,26,pd,1526.618084
1460,1,pd,0
16230,86,pd,3863.6881724
30007,43,pd,3220.7309185032
50353,82,pd,4474.8813760336
44315,352,pd,12226.229185554
6958,2,pd,0.314626
23244,32,pd,1712.56467
18081,14,pd,996.77896
8121,2,pd,231.57112999999998
31348,42,pd,3339.7432100064
37372,221,pd,8790.4071145214
21473,39,pd,2425.941348
53380,153,pd,6035.6702100304
35240,53,pd,3835.0868235032
27062,43,pd,3292.1426450032
8495,2,pd,244.810184
27968,60,pd,3390.923128
53934,41,pd,2419.025583
4943,1,pd,0
18862,12,pd,976.168679
36087,71,pd,4383.2996915062
31349,44,pd,3430.9526980064
14126,12,pd,970.410158
19518,81,pd,3250.320399
24965,176,pd,6711.712272206
10406,17,pd,575.896234
33473,51,pd,3804.660328
9404,3,pd,363.254039
18073,11,pd,650.9340259999999
27991,522,pd,13968.6438333274
1854,1,pd,0
8488,2,pd,244.810184
26583,34,pd,2754.3347540032
22992,73,pd,3846.696206
18407,68,pd,3454.456337
64762,91,pd,4166.290702002
18242,42,pd,1988.878657
14774,11,pd,547.65013
26033,252,pd,9273.584189613
29593,40,pd,3131.7072050031998
11650,5,pd,239.178159
56984,129,pd,5631.754306
40880,68,pd,4431.672074003
32173,48,pd,3488.276089
23002,176,pd,7004.0348696030005
13292,11,pd,475.475002
10688,5,pd,348.07039899999995
32177,48,pd,3623.062499
56122,206,pd,7256.8353050142
17521,110,pd,4209.3133508
40320,1272,pd,27204.0015891174
55536,77,pd,3982.1980060154
33545,59,pd,4480.9817300032
17153,7,pd,787.163718
28743,36,pd,2912.2529770064
52650,106,pd,5020.584197006
36110,68,pd,4166.0857435094
9141,5,pd,81.393534
23687,92,pd,4052.125439
59993,54,pd,2784.836549
54690,157,pd,7398.6427920282
53802,80,pd,4108.847929512
1901,1,pd,0
17621,7,pd,504.98291099999994
47665,839,pd,19621.5646170712
40387,463,pd,14169.2557289722
22799,17,pd,1232.180483
18231,36,pd,1914.4378920000001
38654,243,pd,9702.6824220336
56745,398,pd,13418.2974780664
32930,700,pd,20522.005234201
26148,38,pd,3018.9868630032
8183,2,pd,231.57112999999998
49945,4,pd,457.460672
11715,7,pd,311.017953
12764,106,pd,3709.303085
37803,295,pd,10067.2223740316
34667,1024,pd,25020.113186923
11077,6,pd,522.5374449999999
20593,17,pd,1405.71819
28413,256,pd,7968.265509806
17355,60,pd,1959.570458
55110,105,pd,5235.6062545216
34408,66,pd,4433.9115630032
17813,54,pd,2103.951652
47652,990,pd,23076.7988225636
50785,80,pd,4497.7561420274
24509,40,pd,2608.8289388
29209,37,pd,3224.8420990032
6203,1,pd,0
18233,33,pd,1725.981748
26026,229,pd,9122.976979116
28779,41,pd,3548.8564680032
10655,9,pd,592.454613
14821,8,pd,527.073019
25763,48,pd,3381.0057908
37353,165,pd,7548.1707605182
27091,114,pd,5930.5379398216
27324,184,pd,8361.3774756242
34443,214,pd,9412.8580410356
40081,725,pd,19466.7153252692
44415,615,pd,18400.4335422014
45526,397,pd,13685.8864440342
57823,45,pd,2566.398898
45925,796,pd,19860.3430160532
21516,4,pd,435.51219599999996
54583,431,pd,14631.5531505618
16305,25,pd,1219.012328
58038,235,pd,10247.8745200304
25585,104,pd,5732.313830006
48095,885,pd,20175.5134050746
10645,4,pd,411.32901699999996
29681,117,pd,5934.4230548248
31033,430,pd,15175.31597216
47328,114,pd,5811.6258510214
27957,140,pd,6660.2979568306
10014,5,pd,232.17443399999996
19352,4,pd,441.680933
2755,1,pd,0
17094,88,pd,3934.1657814
18842,62,pd,3308.244131
16280,8,pd,927.048734
10260,4,pd,236.92239099999998
50348,107,pd,5700.6297140214
54672,85,pd,4097.6570740216
21280,174,pd,5715.7484076
11749,9,pd,310.53445
1416,1,pd,0
19354,4,pd,441.680933
15658,12,pd,844.62766
14959,51,pd,2102.754975
29273,198,pd,8736.1793782182
10298,4,pd,20.036125000000002
49501,285,pd,10233.9245575458
11303,16,pd,518.979278
9231,3,pd,293.51761100000004
20161,18,pd,1183.684891
19996,125,pd,3930.728361
12078,2,pd,0.31462599999999996
21060,20,pd,1045.297292
58995,83,pd,4216.7580720064
18094,16,pd,999.9717109999999
15874,25,pd,1219.012328
35331,762,pd,21335.8394031226
21291,212,pd,6538.8130546
22384,22,pd,1327.661578
18442,7,pd,706.311227
27123,258,pd,9209.555355403
39571,164,pd,7587.6133150226
14581,22,pd,903.218884
16944,33,pd,1764.224155
48634,260,pd,9472.9426080428
9452,5,pd,15.034600000000001
19708,59,pd,3110.369552
38276,135,pd,6534.5960145156
15202,25,pd,1107.609938
49407,736,pd,19625.3800585898
30124,231,pd,10288.5508034428
39115,126,pd,6531.394846512
44202,1203,pd,24571.5877406192
23250,100,pd,3891.22989
41179,1211,pd,26130.6460971222
28824,183,pd,8446.111739833601
33060,49,pd,3411.3759115032
11764,8,pd,283.161321
45954,456,pd,14926.3968075462
32275,249,pd,10201.6058990552
37800,245,pd,9083.5284085184
49832,651,pd,18361.6432955722
34351,61,pd,3810.2408585062
22827,67,pd,2869.515425
24473,45,pd,3196.6780440000002
41829,1215,pd,27064.3030947214
27532,54,pd,3422.471575
11742,15,pd,511.20984400000003
34029,302,pd,11524.7815050504
37395,67,pd,4516.8628385062
48522,1160,pd,24891.9682835976
24733,202,pd,7994.541704106
11999,7,pd,376.071546
5726,1,pd,0
25565,162,pd,6933.0091707062
7592,9,pd,588.507476
10443,11,pd,348.97357800000003
45310,360,pd,13483.9641561584
24732,208,pd,8383.046891106
17989,26,pd,1827.668109
10025,6,pd,278.026379
5550,1,pd,0
33462,52,pd,3791.864384503
9827,4,pd,236.92239099999998
45943,705,pd,18265.5650965668
24718,84,pd,4918.936793006
21700,67,pd,3509.290305
39130,76,pd,4849.4523785162
12045,6,pd,83.77583800000001
43325,1574,pd,29720.154632123
22715,90,pd,4720.9589340032
15937,2,pd,136.55089800000002
18893,12,pd,1136.506318
19967,43,pd,2162.905205
4067,1,pd,0
27863,41,pd,3296.7201690032
23668,39,pd,1905.681566
30984,224,pd,9778.5812408428
9578,8,pd,310.71007299999997
6160,1,pd,0
7907,2,pd,92.09827599999998
52216,133,pd,5858.580184012
17948,150,pd,5440.1878289032
25394,79,pd,4088.0378552
19229,205,pd,7536.7081151032
17594,13,pd,1193.862203
25129,222,pd,7694.8904057062
46620,391,pd,13350.337390173
5500,1,pd,0
58463,119,pd,6102.1463770062
52220,152,pd,6490.412916009
8980,2,pd,231.57112999999998
29262,187,pd,8886.5975576182
40964,1572,pd,30979.4150442318
19302,14,pd,1233.9120050000001
26873,120,pd,6024.851307706
8211,2,pd,0.31462599999999996
59436,265,pd,10210.0035190298
10644,4,pd,411.32901699999996
27950,76,pd,4891.7447428064
13458,18,pd,603.345636
24961,49,pd,3088.9785296
5731,1,pd,0
24131,148,pd,5671.820625002
45928,764,pd,19504.0738415712
22997,116,pd,5317.937766
42891,1323,pd,28276.2050830544
12023,7,pd,282.369754
59321,86,pd,4749.998230007
31879,652,pd,18426.3829116732
9348,3,pd,295.543452
64932,16,pd,1386.2835010000001
24490,45,pd,3551.95865
44879,280,pd,10718.8176640454
12409,10,pd,679.228452
24853,53,pd,3844.2487540064003
19697,84,pd,3985.8769128
14343,9,pd,436.188809
24014,86,pd,4752.9382720032
18797,207,pd,7402.3667831032
11480,45,pd,1914.410355
39131,76,pd,4700.3195315132
16719,7,pd,800.903119
59430,151,pd,7045.3477040148
8978,2,pd,231.57112999999998
16912,7,pd,606.037945
25387,46,pd,2873.6275596
22249,186,pd,7318.170777703
13676,32,pd,1809.674176
37031,327,pd,11923.047751057
8492,1,pd,0
32612,49,pd,3580.976008
37062,641,pd,18983.1924340904
20374,106,pd,4347.789852
16723,7,pd,726.240585
8340,2,pd,92.09827599999998
30982,214,pd,9478.513190846
24070,46,pd,2937.187059
40388,578,pd,16527.024500569
34231,1007,pd,25236.0193858168
36218,506,pd,16316.3679072974
8250,6,pd,270.015903
18380,142,pd,5325.1493604032
47481,813,pd,21029.9171180266
15676,19,pd,828.803341
23248,75,pd,2970.3993609999998
10165,29,pd,1607.991133
50689,590,pd,17054.4214545542
9379,3,pd,360.59574899999996
13041,16,pd,556.764329
8941,2,pd,244.810184
10363,2,pd,231.57112999999998
60836,91,pd,3365.974448
54684,241,pd,8743.0293850558
29283,590,pd,14832.9356348302
3613,1,pd,0
26133,45,pd,3366.564681
17120,42,pd,2596.327756
53814,149,pd,5835.9833960366
18520,26,pd,1461.871058
50919,271,pd,9307.110980518
26892,225,pd,9067.6548126252
43996,472,pd,15610.3008844612
21840,115,pd,5327.2562730062
48216,211,pd,8879.4737075442
36959,84,pd,4690.4172370062
7836,4,pd,231.85342699999995
20112,117,pd,4840.6256446032
42472,1439,pd,27659.6026196282
10397,12,pd,505.559055
19772,4,pd,482.214294
34353,66,pd,4000.1942075032
15049,11,pd,461.995697
24903,48,pd,3551.6960498000003
14963,53,pd,2304.03408
4506,1,pd,0
22994,80,pd,4238.319701
58562,79,pd,4222.6360470094
11075,6,pd,522.5374449999999
55549,438,pd,13094.802002064
26577,41,pd,3112.1667840032
7091,1,pd,0
23611,37,pd,2737.396193
59107,89,pd,3883.806749
15957,7,pd,479.789035
7405,3,pd,0.373782
1448,1,pd,0
42483,990,pd,22288.0827245954
50499,214,pd,9416.63957352
42476,1160,pd,24417.9039101144
9806,4,pd,474.536795
1877,1,pd,0
11924,19,pd,1522.665179
53386,190,pd,7275.6943875488
23851,100,pd,4975.970984003
18223,64,pd,1966.987552
29702,203,pd,9649.7497692246
45952,484,pd,15760.9023255544
14330,26,pd,991.450402
60427,78,pd,3489.336766
16087,11,pd,790.2174560000001
16372,1,pd,0
61727,165,pd,5961.822954003
34386,58,pd,3998.0510960032
12626,5,pd,287.880458
6644,1,pd,0
56740,305,pd,11240.3798490588
8459,11,pd,687.763879
52408,91,pd,5287.1924650062
20549,103,pd,4360.7903020032
23235,26,pd,1535.445893
39087,313,pd,11301.8614430408
40758,1190,pd,25070.173224089798
16963,24,pd,978.510076
12334,101,pd,3833.94835
24964,99,pd,4400.8843982
24851,56,pd,4086.9441240062
21535,51,pd,2136.378284
12008,2,pd,231.57112999999998
27554,266,pd,9468.984334303
591,1,pd,0
19246,120,pd,4790.0897844062
14601,16,pd,569.701308
12506,3,pd,231.72844299999997
50265,652,pd,18454.7431355642
30913,38,pd,3295.2942390064
15261,9,pd,829.4093740000001
39144,195,pd,8615.3370110186
9003,1,pd,0
17202,14,pd,694.579298
22317,25,pd,1804.733435
21413,103,pd,4925.8958960032005
11597,9,pd,393.65316
40431,102,pd,5901.4136885092
9543,20,pd,627.320442
17127,18,pd,1520.394908
45923,1057,pd,23211.6580180622
19999,151,pd,4708.419688
12555,6,pd,365.10146299999997
57402,56,pd,2919.734541
29903,214,pd,8145.2734387182
7284,2,pd,0.31462599999999996
59541,131,pd,4487.940171
21956,23,pd,1203.830929
32065,580,pd,18486.3491657924
54367,43,pd,2682.012601
27053,41,pd,3422.4536960032
23152,86,pd,4494.0091420032
48978,591,pd,17614.4552835602
43435,367,pd,12012.3842490394
27518,80,pd,4974.1931068062
59146,143,pd,5906.400797
46183,663,pd,17514.2700161312
31447,671,pd,18257.8688236702
41191,1224,pd,25435.6977906008
22282,88,pd,4670.1331350032
65796,14,pd,1343.19568
36168,278,pd,10830.239327045
55250,67,pd,4064.921673
6982,3,pd,0.43961
26467,236,pd,9322.4369041254
28397,83,pd,4798.3406146032
13708,14,pd,901.931844
58468,171,pd,8005.4689360246
12123,9,pd,384.519679
37493,588,pd,18006.9614355834
10894,4,pd,277.745252
15869,24,pd,1430.881508
27073,44,pd,3358.6436238032
46614,787,pd,20876.2973107176
9833,4,pd,299.971563
8287,3,pd,0.43961
26025,230,pd,9189.586467116
27422,48,pd,3548.2682590032
12392,11,pd,866.907098
13039,15,pd,551.817719
58885,30,pd,2134.448589998
54358,67,pd,3244.875142
7880,2,pd,92.09827599999998
43341,1234,pd,24815.8821701202
55682,68,pd,3898.516827
18099,4,pd,337.885241
49499,268,pd,9522.5459445418
6945,4,pd,231.85342699999995
36529,84,pd,4837.7806815062
48193,126,pd,6404.3597495276
21385,192,pd,7111.507633303
10640,7,pd,635.238641
7083,1,pd,0
13906,20,pd,773.570071
37847,164,pd,7504.1222370156
55231,42,pd,2628.390347
35264,79,pd,4817.657916003
20123,84,pd,3962.637204
32223,47,pd,3776.9074790064
34470,701,pd,19810.9044146106
54827,229,pd,8892.2533900262
11063,12,pd,826.220743
18685,72,pd,2427.772508
18506,9,pd,649.4526639999999
9848,2,pd,231.57112999999998
47333,157,pd,6818.8825235304
44751,335,pd,12283.3399350492
18240,37,pd,1782.071003
46903,176,pd,7272.9121025334
2747,1,pd,0
27543,76,pd,4063.598698803
38150,735,pd,20608.0409605986
32634,50,pd,3507.7768385064
17581,7,pd,692.395853
14818,7,pd,521.8467420000001
71453,3,pd,303.36557700000003
8744,3,pd,92.25558899999999
9413,2,pd,231.57112999999998
33102,57,pd,4211.8786300062
16264,28,pd,1895.590071
40940,124,pd,6272.0340450112
45594,309,pd,10834.9056170538
22342,44,pd,2225.0981850000003
19687,101,pd,4352.9698720032
11257,8,pd,379.293402
57419,173,pd,6812.125721003
30482,42,pd,3251.3755200064
15698,10,pd,679.897919
5780,1,pd,0
28816,97,pd,5378.3667908188
37352,152,pd,7212.9932205212
17983,44,pd,2581.666526
11918,23,pd,1599.646363
58707,78,pd,4028.289578
16120,17,pd,833.733294
46374,727,pd,19044.9408255606
1000,1,pd,0
18085,29,pd,1605.074988
26688,124,pd,5740.3970958
22289,88,pd,4513.095646
48515,1078,pd,23788.1684480612
53929,65,pd,3188.151766
44658,615,pd,17317.8715175624
32239,59,pd,4324.6688350062
18366,212,pd,7305.1268359032
13620,93,pd,3437.483294
18447,10,pd,953.377459
15248,12,pd,694.621488
7289,3,pd,0.43961
33078,44,pd,3322.0045470064
14123,14,pd,1154.86537
21395,133,pd,6019.6998737062
58264,53,pd,2761.44497
34802,54,pd,3578.7257255032
54369,42,pd,2520.859956
21817,200,pd,7363.890763303
20979,106,pd,4757.4054820032
5499,1,pd,0
38250,150,pd,7170.2366905122
17827,29,pd,1211.563997
46787,1016,pd,22756.6350610576
9963,8,pd,382.95455200000004
14527,45,pd,1948.118882
20976,107,pd,4947.3604220032
6216,1,pd,0
60410,108,pd,3791.6664929999997
19559,87,pd,2970.087608
5348,1,pd,0
46911,389,pd,12621.6836985548
11161,7,pd,282.369754
7876,2,pd,92.09827599999998
56743,374,pd,12971.351026054599
39248,77,pd,4643.9800076090005
27449,35,pd,2732.6196210064
38580,822,pd,21903.3805611256
36498,138,pd,6518.0927685154
1440,1,pd,0
24727,178,pd,7702.298135106
5357,1,pd,0
15861,11,pd,1127.655052
31759,55,pd,3988.2690630064
29254,179,pd,8016.3060228398
4930,1,pd,0
9552,9,pd,280.5971
17548,56,pd,2675.38158
59112,113,pd,4222.679935
17372,27,pd,1549.293166
30480,42,pd,3264.9638130064
17785,90,pd,3066.809493
21944,7,pd,688.0765759999999
5728,1,pd,0
49835,724,pd,19680.3115175704
15423,8,pd,826.555635
10833,13,pd,515.929232
44186,1020,pd,24644.6907670954
12603,14,pd,511.08603
28854,586,pd,15855.2415988364
19514,94,pd,3859.7770697
26613,47,pd,3729.3160040000002
7808,5,pd,231.97724099999996
8976,2,pd,231.57112999999998
13883,13,pd,617.280474
49405,740,pd,19886.8467695816
19666,173,pd,6884.5379091032
44867,361,pd,13583.8145526646
9801,5,pd,590.322361
51657,172,pd,6640.5316315518
9772,7,pd,635.2456599999999
28630,333,pd,12588.2005356482
59575,123,pd,4997.808858001999
10719,4,pd,360.285205
14996,10,pd,882.9457789999999
11909,65,pd,2512.485696
63932,203,pd,8165.677648603
34660,519,pd,16975.6969455438
31369,49,pd,3981.8155350032002
20181,18,pd,1492.730443
12883,12,pd,462.06313600000004
55971,77,pd,4320.4064460154
40303,1816,pd,35261.3073110872
56726,27,pd,2022.6878380032001
15199,34,pd,1294.3102059999999
53286,488,pd,15470.2794960668
18521,27,pd,1568.612469
