grid_id,n,pd,mpd,raoq,fd,fdr,type
33465,34,3123.6074878418,342.8994075108724,20.592025705927774,67.85256234179825,1.6868236527293337,mean
33466,32,2969.37980836132,347.01472580842926,20.63815793338989,54.12787325403396,1.6394309355209649,mean
33467,30,2829.51777318132,357.3539857686857,20.607342963040203,45.02263278823839,1.598244666083183,mean
33468,30,2912.98660738144,354.5522330834983,20.002481183236487,46.41175422497509,1.604424650741372,mean
33469,30,2951.6889202,346.7102537021609,19.46998050906121,43.663893852616674,1.5933267306367145,mean
33470,30,2894.9530839999998,346.33347141374713,19.789320243699382,47.87712265409434,1.6113239708239888,mean
33471,30,2927.98081106,358.67194902864367,19.09033116053127,39.208665608510174,1.5729210881377478,mean
33472,30,2929.0825578599997,348.74441868625286,19.287899715364404,41.31349568444913,1.5849635633127725,mean
33473,31,3014.223258,344.3759554699355,19.350636652638308,49.38600112829144,1.6200254333926003,mean
33474,31,2992.8267971,329.65268895346236,18.60888596217485,47.37794383589075,1.6130087836445213,mean
33475,32,3047.8888261,326.8060902201613,18.719668304095052,49.88631107523006,1.6217751805737883,mean
33476,32,3071.48090532,325.94898141959675,19.173950021719147,56.394745107643175,1.648614594898903,mean
33477,32,3058.99951654,327.2847055781452,19.76105366144102,65.84652168648348,1.6799347351002132,mean
33478,32,3016.91070624,323.60793696229837,19.376706592986896,62.01426643324607,1.6675610420566027,mean
33479,32,3017.559576201536,323.6180462317492,19.543733225789154,60.759563921193624,1.6655648095701585,mean
33480,33,3094.471928921536,309.3763782978961,18.82417294042252,63.08988313438097,1.6721223745451061,mean
33481,34,3124.200235731664,315.55808753635455,19.438897462639677,73.78869641334232,1.7064019652947544,mean
33482,34,3043.000458571536,295.7286846364896,19.611051197099364,74.16926855413367,1.7075576330608422,mean
33483,34,3085.182480901536,302.43787822383365,20.344749943350294,87.4744687506335,1.7434977492303314,mean
33484,32,2944.3466147616,307.8892459355032,20.048504147773357,65.12513671365527,1.6787756862572134,mean
33485,32,2903.149027941856,310.7438109918902,20.676665895260747,78.6089439340441,1.715284162854805,mean
33486,31,2901.561305581472,317.6602851626756,20.386232203293943,65.32505906609896,1.6763750756289348,mean
33487,32,2952.894298811792,318.4638868993055,21.08499163424984,75.68418127376026,1.7108568231425758,mean
33488,33,2970.286460051344,319.50563675913446,21.20110905487306,91.1028929849314,1.7511462707795538,mean
33489,33,2962.443073861536,319.7317663431991,21.44122963403775,91.99295982619691,1.7508557012408723,mean
33490,35,3160.87227693128,316.1241300304933,21.17565399635773,116.52379682061077,1.8060713154648833,mean
33491,34,3130.364793191728,323.0118573314029,21.690851206795465,115.75401216281008,1.8055908110249084,mean
33492,31,2929.6475716716,325.3702293370925,20.845268193433398,80.71079980666755,1.7252795810384618,mean
33493,30,2845.301203431344,325.08821211356087,21.175812223419992,73.75168059643309,1.702331011724439,mean
33494,30,2851.774832801728,324.6363640806669,21.188301331068864,76.46825013806645,1.7091845210974825,mean
33495,31,2877.83224440192,328.59541665251095,21.705027296272476,85.0024879905008,1.7354140331000176,mean
33496,32,2897.394612661792,322.81779561087814,21.641127439448482,96.05475254094199,1.7617715565457468,mean
33497,30,2822.418058651472,326.67680589545444,21.23340942909318,71.741878692125,1.6970757454225927,mean
33498,29,2715.710176241472,319.78454332443647,21.261498683017113,62.42725824556194,1.666835403126895,mean
33499,28,2718.4982155318557,320.4310460901855,21.364508462787764,58.14764178772612,1.6544538498008179,mean
