grid_id,n,pd,mpd,raoq,fd,fdr
5088,2,9.22417294,9.22417294,2.329109669436816,NA,NA
5089,2,9.22417294,9.22417294,2.3133067607989957,NA,NA
5090,2,9.22417294,9.22417294,2.2184893026193473,NA,NA
5091,2,9.79898242,9.79898242,2.2200461281566004,NA,NA
5092,2,8.9367682,8.9367682,2.3994443528117424,NA,NA
5093,2,10.94860138,10.94860138,2.0177219542904554,NA,NA
5465,2,246.61782119999998,246.61782119999998,11.951899809352486,NA,NA
5522,2,468.1601356,468.1601356,12.830591366312897,NA,NA
5523,2,241.13509439999999,241.13509439999999,7.327665695924973,NA,NA
5524,2,10.66119664,10.66119664,2.1038595413697094,NA,NA
5525,2,9.51157768,9.51157768,2.321986624983097,NA,NA
5953,2,431.58533284,431.58533284,10.283563019769769,NA,NA
5954,2,389.95916212,389.95916212,10.075030769938916,NA,NA
5955,2,359.34261484,359.34261484,9.850901196108733,NA,NA
5956,2,411.32544924,411.32544924,9.612026069259203,NA,NA
5957,2,403.83455236,403.83455236,10.046196476307351,NA,NA
5958,2,403.83455236,403.83455236,10.024122534027116,NA,NA
5959,2,424.32115784,424.32115784,10.405450966468457,NA,NA
5960,2,426.08052112,426.08052112,10.699452045513892,NA,NA
5961,2,403.1815926,403.1815926,11.904311468245844,NA,NA
5962,2,403.1815926,403.1815926,12.007525757889454,NA,NA
5963,2,442.1687184,442.1687184,12.387829421988798,NA,NA
5964,2,416.1773012,416.1773012,11.996674611054097,NA,NA
5965,2,558.02369228,558.02369228,11.982733829422617,NA,NA
5983,2,481.1558442,481.1558442,13.284204478635802,NA,NA
5984,2,507.1472614,507.1472614,13.881787854601162,NA,NA
6372,2,245.4062208,245.4062208,13.214702339657807,NA,NA
6381,2,166.81930888,166.81930888,5.403937553442409,NA,NA
6382,2,143.69365848,143.69365848,5.122448843368999,NA,NA
6383,2,143.69365848,143.69365848,5.073226829561798,NA,NA
6384,2,378.7228168,378.7228168,9.45031875117867,NA,NA
6385,2,506.04085788,506.04085788,11.982626320301346,NA,NA
6386,2,343.48113944,343.48113944,9.179644440559548,NA,NA
6387,2,454.93770512,454.93770512,11.094362673948972,NA,NA
6388,2,400.53059164,400.53059164,10.619051545761028,NA,NA
6389,2,363.96774492,363.96774492,9.189560620884713,NA,NA
6390,2,305.37369528,305.37369528,8.614624554522367,NA,NA
6391,2,425.20083948,425.20083948,10.505925503039284,NA,NA
6392,2,406.70031916,406.70031916,10.23430689919197,NA,NA
6393,2,402.95487072,402.95487072,10.280452581840676,NA,NA
6394,2,541.28253524,541.28253524,12.272353671125549,NA,NA
6395,2,558.02369228,558.02369228,12.741590500722998,NA,NA
6396,2,566.3942708,566.3942708,12.496501261643202,NA,NA
6397,2,491.05906412,491.05906412,11.024545697514261,NA,NA
6416,2,442.1687184,442.1687184,12.3878294208788,NA,NA
6417,2,324.41409002,324.41409002,8.343212886204995,NA,NA
6418,2,368.21813302,368.21813302,10.526031734935444,NA,NA
6419,2,10.08638716,10.08638716,2.133908533516824,NA,NA
6508,2,11.23600612,11.23600612,2.2002338219728714,NA,NA
6509,2,7.48939922,7.48939922,2.2118447381882778,NA,NA
6510,2,7.7755108,7.7755108,2.072216996036384,NA,NA
6643,2,243.75641759999996,243.75641759999996,11.619107567916283,NA,NA
6725,2,353.2723608,353.2723608,10.232774621269902,NA,NA
6726,2,319.44852244,319.44852244,8.350959409958959,NA,NA
6728,3,629.95639338,419.97092892,15.369731890115247,NA,NA
6729,2,483.3529454,483.3529454,11.69346256581231,NA,NA
6730,3,717.68461526,478.4564101733333,14.90608692254895,NA,NA
6731,2,385.21169608,385.21169608,11.728092663215552,NA,NA
6732,2,433.95009084,433.95009084,11.713457501356622,NA,NA
6733,2,370.01351784,370.01351784,10.284033789039674,NA,NA
6798,2,144.81662282000002,144.81662282000002,3.729586214940757,NA,NA
6804,2,242.38132392,242.38132392,8.16282443526541,NA,NA
6805,2,243.01721768,243.01721768,8.288396897412932,NA,NA
6808,2,242.93151696,242.93151696,15.014905057886905,NA,NA
6810,2,156.63073012,156.63073012,10.569161669149878,NA,NA
6811,2,177.96883556,177.96883556,8.671890864638547,NA,NA
6812,2,192.51455516000001,192.51455516000001,9.5893811380044,NA,NA
6813,2,371.46945388,371.46945388,10.57983771056381,NA,NA
6814,2,413.08481252,413.08481252,10.164698585517415,NA,NA
6815,2,372.33832344,372.33832344,9.520244939870347,NA,NA
6816,2,406.70031916,406.70031916,10.404053871387436,NA,NA
6817,2,424.32115784,424.32115784,10.343999422062275,NA,NA
6818,2,382.46826524,382.46826524,9.559312364121174,NA,NA
6819,2,360.21712384,360.21712384,9.359393568977287,NA,NA
6820,2,524.5413782,524.5413782,11.963019387309904,NA,NA
6825,2,541.28253524,541.28253524,11.79264599197815,NA,NA
6826,2,499.42964264,499.42964264,10.779456446169156,NA,NA
