grid_id,n,metrics,value
56838,4,pd,319.29743
15825,4,pd,317.71926
18495,1,pd,0
33577,15,pd,626.628843
19371,3,pd,112.61158
15675,6,pd,374.314195
21843,28,pd,1154.716518
49930,5,pd,376.85744800000003
15645,4,pd,297.602195
8508,1,pd,0
13320,3,pd,292.44309499999997
53500,4,pd,351.739427
12121,1,pd,0
57378,1,pd,0
50058,9,pd,526.708317
19676,31,pd,1268.060665
11728,3,pd,288.661938
9873,1,pd,0
35665,7,pd,494.568146
15837,3,pd,292.44309499999997
40756,5,pd,306.894787
39458,6,pd,461.187925
16331,7,pd,391.796179
29585,9,pd,545.805697
51355,11,pd,532.153681
43011,5,pd,408.601182
50803,8,pd,393.006523
14336,7,pd,377.091456
31427,14,pd,603.27868
27124,42,pd,1221.8965
9368,5,pd,348.318383
17345,9,pd,499.196175
41305,10,pd,541.5415899999999
21071,1,pd,0
11111,3,pd,292.44309499999997
24130,26,pd,1221.9952269999999
46613,33,pd,1167.263504
55678,8,pd,509.902608
26654,8,pd,536.138252
16565,5,pd,308.680821
16049,6,pd,387.47804
42144,7,pd,506.66885199999996
26886,22,pd,1140.835999
21515,2,pd,253.645516
26462,28,pd,1244.764267
23184,5,pd,313.951335
19142,16,pd,589.023934
10631,4,pd,327.459517
10260,1,pd,0
22382,3,pd,257.079407
25338,8,pd,427.81623
24291,16,pd,1097.44877
49064,5,pd,376.85744800000003
29284,41,pd,1420.746782
32637,7,pd,506.668853
18813,33,pd,1312.557364
21811,50,pd,1492.4252609999999
13759,3,pd,292.44309499999997
38707,12,pd,543.06537
11721,4,pd,330.357516
36982,12,pd,561.409386
20952,60,pd,1520.778903
24488,9,pd,461.613929
36404,9,pd,498.33095099999997
38289,13,pd,595.178094
50687,4,pd,438.284638
20221,1,pd,0
41707,7,pd,506.66885199999996
36522,7,pd,473.098168
15866,2,pd,70.03284400000001
30333,26,pd,705.403007
9439,1,pd,0
21696,6,pd,335.984471
18806,55,pd,1477.707952
16804,1,pd,0
54395,15,pd,611.815925
36082,8,pd,511.895747
58702,9,pd,479.980956
11694,3,pd,258.804616
29678,11,pd,580.537624
47669,5,pd,473.590567
9557,2,pd,253.645516
40412,7,pd,473.098168
10695,1,pd,0
26634,9,pd,547.5492409999999
12180,3,pd,288.661938
30593,29,pd,1427.761442
30476,11,pd,590.397211
15450,6,pd,360.034019
25411,16,pd,875.4919209999999
8240,1,pd,0
21088,2,pd,253.645516
14771,5,pd,332.618617
22987,17,pd,992.0139419999999
31438,15,pd,656.2440389999999
13046,3,pd,288.661938
20374,44,pd,1330.098554
13470,4,pd,293.821038
45175,4,pd,364.07652
59563,7,pd,428.376209
12434,2,pd,253.645516
22107,29,pd,1216.808698
13295,2,pd,253.645516
19088,20,pd,894.38329
33958,9,pd,552.763901
31342,10,pd,569.538345
28177,18,pd,1077.121462
21069,1,pd,0
19687,26,pd,1239.2485609999999
28435,35,pd,1512.513125
26273,21,pd,1166.974358
21272,13,pd,959.338041
28794,12,pd,601.1217369999999
13345,1,pd,0
34758,11,pd,507.09412499999996
58468,6,pd,722.9200609999999
35097,4,pd,388.303823
41734,12,pd,524.173583
14180,3,pd,292.44309499999997
15633,7,pd,364.4532
32674,13,pd,611.598197
13041,4,pd,293.821038
25165,22,pd,1223.5673729999999
31223,17,pd,562.186533
50706,5,pd,446.208066
30043,9,pd,562.544141
10533,1,pd,0
29611,8,pd,545.738432
15417,1,pd,0
8473,2,pd,253.645516
37395,7,pd,473.098168
60013,28,pd,725.022477
24050,7,pd,358.82766
37926,13,pd,609.140652
16070,2,pd,253.645516
16640,73,pd,1643.719948
29731,34,pd,1489.960093
9703,1,pd,0
20519,60,pd,1612.3423129999999
50917,11,pd,532.153681
43117,19,pd,952.891229
38351,13,pd,1011.9973309999999
29677,10,pd,579.920751
8150,1,pd,0
19660,72,pd,1585.444585
51977,6,pd,297.203047
26868,25,pd,695.784677
20590,2,pd,8.861062
59856,5,pd,438.76381699999996
15390,4,pd,317.71926
30919,11,pd,580.616971
9357,4,pd,316.19996
9573,1,pd,0
27979,30,pd,576.445359
16500,4,pd,317.71926
15002,3,pd,288.661938
17976,8,pd,429.737345
24726,19,pd,1167.146878
24912,8,pd,419.91835100000003
26458,24,pd,1166.230539
28375,10,pd,583.784956
53732,7,pd,336.635863
48088,3,pd,283.991499
16670,11,pd,986.388902
49939,8,pd,393.006523
25409,16,pd,875.4919209999999
56983,13,pd,594.668689
23537,32,pd,1304.114491
8258,2,pd,253.645516
47046,21,pd,989.5997659999999
10211,1,pd,0
43019,8,pd,515.856949
33932,7,pd,494.568147
13716,4,pd,327.459517
69248,1,pd,0
26894,29,pd,1271.448179
19988,18,pd,984.854608
39990,9,pd,517.411881
53526,15,pd,620.3289629999999
30560,14,pd,667.5475309999999
25812,6,pd,327.48756099999997
48551,3,pd,283.9915
30553,16,pd,693.353564
21381,50,pd,1478.204821
21121,8,pd,492.82966
53291,5,pd,479.002861
18902,2,pd,253.645516
28593,2,pd,198.704756
28171,22,pd,698.857928
20428,25,pd,1201.761266
10254,1,pd,0
26899,32,pd,1309.720545
23671,12,pd,797.524953
62339,9,pd,917.917517
