grid_id,n,fd,fdr,mpd,pd,raoq
5088,2,NA,NA,0.7638553050849859,0.7638553050849859,0.3437484235502282
5089,2,NA,NA,0.7638553050849859,0.7638553050849859,0.351294842353055
5090,2,NA,NA,0.7638553050849859,0.7638553050849859,0.39453474306020353
5091,2,NA,NA,0.7017482538998888,0.7017482538998888,0.3697763624198335
5092,2,NA,NA,0.795748851223618,0.795748851223618,0.32114589295592366
5093,2,NA,NA,0.581560341143031,0.581560341143031,0.4018829337445569
5465,2,NA,NA,0.005079188241346374,0.005079188241346374,0.30641543489584927
5522,2,NA,NA,0.6295174380132099,0.6295174380132099,0.4770733602341255
5523,2,NA,NA,1.2850827487095944,1.2850827487095944,0.9626768649865811
5524,2,NA,NA,0.6113504033133788,0.6113504033133788,0.38110718102806446
5525,2,NA,NA,0.732553877040596,0.732553877040596,0.33484399316173996
5953,2,NA,NA,0.5218811057364229,0.5218811057364229,0.482976964296779
5954,2,NA,NA,0.7059128051460927,0.7059128051460927,0.5715641541366491
5955,2,NA,NA,0.7912435529219298,0.7912435529219298,0.6239885968652612
5956,2,NA,NA,0.6634161167011471,0.6634161167011471,0.5333245650623593
5957,2,NA,NA,0.6448829462236624,0.6448829462236624,0.5371782755291574
5958,2,NA,NA,0.6448829462236624,0.6448829462236624,0.5294716335073099
5959,2,NA,NA,0.632401664108893,0.632401664108893,0.5258347550961793
5960,2,NA,NA,0.5739134002731571,0.5739134002731571,0.5160504718486272
5961,2,NA,NA,0.7902124689169475,0.7902124689169475,0.5802990970842683
5962,2,NA,NA,0.7902124689169475,0.7902124689169475,0.5815677628996173
5963,2,NA,NA,0.6924658524199057,0.6924658524199057,0.5176320844904714
5964,2,NA,NA,0.757041659275331,0.757041659275331,0.5584759444186316
5965,2,NA,NA,0.31384733447406243,0.31384733447406243,0.3311857267773133
5983,2,NA,NA,0.5983753573544639,0.5983753573544639,0.4595436213879906
5984,2,NA,NA,0.5361440470970287,0.5361440470970287,0.418735741658925
6372,2,NA,NA,0.016977485824930985,0.016977485824930985,0.2992995914365128
6381,2,NA,NA,0.6287527019586793,0.6287527019586793,0.2528198220481826
6382,2,NA,NA,0.7890980296782886,0.7890980296782886,0.28983570569386163
6383,2,NA,NA,0.7890980296782886,0.7890980296782886,0.2850418922092623
6384,2,NA,NA,0.674644897361804,0.674644897361804,0.5564621960604046
6385,2,NA,NA,0.45327642192764633,0.45327642192764633,0.4290220906486198
6386,2,NA,NA,0.7801929251631442,0.7801929251631442,0.6090735512520014
6387,2,NA,NA,0.5512045407380576,0.5512045407380576,0.48745039032147097
6388,2,NA,NA,0.6331741235995033,0.6331741235995033,0.5376356460904607
6389,2,NA,NA,0.7699014560598789,0.7699014560598789,0.5934505501385755
6390,2,NA,NA,0.8401806741565263,0.8401806741565263,0.6468090629049495
6391,2,NA,NA,0.6037501032125803,0.6037501032125803,0.5103232076760523
6392,2,NA,NA,0.6833100708748344,0.6833100708748344,0.5572717275143688
6393,2,NA,NA,0.6745747627807132,0.6745747627807132,0.5502557331480603
6394,2,NA,NA,0.3426028413265602,0.3426028413265602,0.4002658027769132
6395,2,NA,NA,0.31384733447406243,0.31384733447406243,0.3842086602858014
6396,2,NA,NA,0.29857509608665617,0.29857509608665617,0.3777070148905171
6397,2,NA,NA,0.4178942084985782,0.4178942084985782,0.4349242240381494
6416,2,NA,NA,0.6924658524199057,0.6924658524199057,0.5176320849095333
6417,2,NA,NA,0.807869632766948,0.807869632766948,0.7086693744208599
6418,2,NA,NA,0.8724927646356252,0.8724927646356252,0.7021109673976408
6419,2,NA,NA,0.6713433697605449,0.6713433697605449,0.39459049814308195
6508,2,NA,NA,0.5517614354470431,0.5517614354470431,0.3106704045695443
6509,2,NA,NA,0.9705114871045716,0.9705114871045716,0.48887665226613336
6510,2,NA,NA,0.9342828830813709,0.9342828830813709,0.5243025178891748
6643,2,NA,NA,0.02051087345287379,0.02051087345287379,0.30390981896176966
6725,2,NA,NA,0.7329401005016297,0.7329401005016297,0.4426673103935769
6726,2,NA,NA,0.7293295281471762,0.7293295281471762,0.680702606247701
6728,3,NA,NA,0.3180281905075129,0.3180281905075129,0.18436683804169188
6729,2,NA,NA,0.480855703041995,0.480855703041995,0.35846059056271046
6730,3,NA,NA,0.17632150254647597,0.17632150254647597,0.24675829349588144
6731,2,NA,NA,0.7514119064708626,0.7514119064708626,0.39623703473096344
6732,2,NA,NA,0.59095615863015,0.59095615863015,0.44745936947761816
6733,2,NA,NA,0.713759223135024,0.713759223135024,0.4603495112369732
6798,2,NA,NA,0.7411501830893469,0.7411501830893469,0.44503198286532564
6804,2,NA,NA,0.03090593068980523,0.03090593068980523,0.14750171458216566
6805,2,NA,NA,0.029670150804467353,0.029670150804467353,0.14219638404065865
6808,2,NA,NA,0.02128312728299251,0.02128312728299251,0.28646963107277146
6810,2,NA,NA,0.7235710843789701,0.7235710843789701,0.6075950776039274
6811,2,NA,NA,0.566819829689802,0.566819829689802,0.6225153259503967
6812,2,NA,NA,0.47268805579810214,0.47268805579810214,0.568921515019313
6813,2,NA,NA,0.6801690932574316,0.6801690932574316,0.49870145897348106
6814,2,NA,NA,0.6042313287719165,0.6042313287719165,0.5189818325908305
6815,2,NA,NA,0.7585199744256178,0.7585199744256178,0.5839577657524142
6816,2,NA,NA,0.6833100708748344,0.6833100708748344,0.5580768270365358
6817,2,NA,NA,0.632401664108893,0.632401664108893,0.5235870588147998
6818,2,NA,NA,0.6858476185733986,0.6858476185733986,0.5624010574939491
6819,2,NA,NA,0.7595477038615891,0.7595477038615891,0.6460928004712769
6820,2,NA,NA,0.36935359928771655,0.36935359928771655,0.4146143804508226
6825,2,NA,NA,0.3426028413265602,0.3426028413265602,0.39778376783865377
6826,2,NA,NA,0.4063304443039013,0.4063304443039013,0.4194659115192726
6827,2,NA,NA,0.35620682844875134,0.35620682844875134,0.40293428994729186
6828,2,NA,NA,0.39439461973833856,0.39439461973833856,0.42899920137422065
6848,2,NA,NA,0.4063304443039013,0.4063304443039013,0.3922546914988601
6849,2,NA,NA,0.609572256275685,0.609572256275685,0.5146387788080637
6850,2,NA,NA,0.860595627935604,0.860595627935604,0.7419390918394206
6851,2,NA,NA,0.6113504033133788,0.6113504033133788,0.36108788764892574
6852,2,NA,NA,0.6713433697605449,0.6713433697605449,0.35320218424535527
6853,2,NA,NA,0.9313108989105051,0.9313108989105051,0.3607519019002694
6859,2,NA,NA,0.8283338088435224,0.8283338088435224,0.3374963071321367
6860,2,NA,NA,1.0905713466672364,1.0905713466672364,0.878353588438296
6861,2,NA,NA,0.7017482538998888,0.7017482538998888,0.3697763647823667
6874,2,NA,NA,0.700498689804616,0.700498689804616,0.6375146259961998
6938,2,NA,NA,0.6412435482292261,0.6412435482292261,0.38477393338641735
6939,2,NA,NA,0.732553877040596,0.732553877040596,0.31926810488582685
6940,2,NA,NA,0.7638553050849859,0.7638553050849859,0.32830439733325323
6941,2,NA,NA,0.6729961614250723,0.6729961614250723,0.5379618788452081
6942,2,NA,NA,0.9694849157415806,0.9694849157415806,0.5420955546535985
6943,3,NA,NA,0.8459903595097816,0.8459903595097815,0.5334977728429039
6944,2,NA,NA,1.0088262127787542,1.0088262127787542,0.5313357230413627
6945,2,NA,NA,1.087051578324523,1.087051578324523,0.6449995973643192
6946,2,NA,NA,1.0036705733390778,1.0036705733390778,0.512346457499597
6947,3,NA,NA,0.9745923394400889,0.9745923394400888,0.4952926894223523
6948,2,NA,NA,1.225532143067003,1.225532143067003,0.6509961293578866
6949,2,NA,NA,1.1777428779453547,1.1777428779453547,0.6917861584860978
6950,2,NA,NA,1.2292094776371987,1.2292094776371987,0.7994066834028183
6951,2,NA,NA,1.229647119479776,1.229647119479776,0.781934901973308
6952,2,NA,NA,0.8979180350168189,0.8979180350168189,0.5617834221032176
6953,2,NA,NA,1.0485047068142743,1.0485047068142743,0.6303212990697605
6954,2,NA,NA,1.1790130651673825,1.1790130651673825,0.7475355366458258
6955,2,NA,NA,1.1343524928358135,1.1343524928358135,0.565078079884182
6956,2,NA,NA,1.131097609605692,1.131097609605692,0.5295286955442936
6957,2,NA,NA,0.6412435482292261,0.6412435482292261,0.39578720461645556
6958,2,NA,NA,0.9313108989105051,0.9313108989105051,0.39379031783817814
6970,2,NA,NA,0.5850753929132471,0.5850753929132471,0.7485457912539618
6972,2,NA,NA,0.834681491005811,0.834681491005811,0.5990786344250024
6973,2,NA,NA,0.6757502282378434,0.6757502282378434,0.6212824947901149
6974,2,NA,NA,0.5550105709585158,0.5550105709585158,0.6332088154704624
6975,2,NA,NA,0.9033593112868838,0.9033593112868838,0.5410411796619556
6976,2,NA,NA,0.7376551593943051,0.7376551593943051,0.6209560432357283
