n,metric,mean,sd,median,mad,min,max
2,fd,NA,NA,NA,NA,NA,NA
2,fdr,NA,NA,NA,NA,NA,NA
2,mpd,246.154970970164,64.12662717605677,247.468472,15.287481488999987,55.455774000000005,650.100056
2,pd,246.154970970164,64.12662717605677,247.468472,15.287481488999987,55.455774000000005,650.100056
2,raoq,8.418010820176338,5.010599564802234,6.720072574258243,4.225395044033825,1.5386784243915648,21.79482723139715
3,fd,NA,NA,NA,NA,NA,NA
3,fdr,NA,NA,NA,NA,NA,NA
3,mpd,249.16366820680668,64.56647530768751,239.26326633399998,13.470945606999976,167.43334866666666,524.0081606666666
3,pd,373.74550231021,96.84971296153127,358.894899501,20.206418410499996,251.150023,786.0122409999999
3,raoq,10.747971796041643,4.806838789689457,10.040888713686538,4.8822469156332025,3.35461287470981,24.689389698326135
4,fd,NA,NA,NA,NA,NA,NA
4,fdr,NA,NA,NA,NA,NA,NA
4,mpd,248.06784768852032,47.55440111569647,241.381826,15.971865831751956,192.90998850000005,447.4975958333333
4,pd,487.576077960374,98.10217001511529,478.3878045,39.39221646137611,340.726535,893.708524
4,raoq,12.311396977509679,4.21906605234317,11.648049192454623,4.69885468085685,5.128164975987051,25.18117174805804
5,fd,NA,NA,NA,NA,NA,NA
5,fdr,NA,NA,NA,NA,NA,NA
5,mpd,243.8416517761592,39.99432705407769,235.84045809999998,12.505120169689583,133.97052979999998,405.211277
5,pd,586.744076480398,105.90086205230847,574.7659965,49.68253090302385,317.64705299999997,1004.753622
5,raoq,12.618504323884503,3.351358680803965,11.948696803210023,2.984133845731055,6.242978248917048,22.079944254049412
6,fd,NA,NA,NA,NA,NA,NA
6,fdr,NA,NA,NA,NA,NA,NA
6,mpd,245.282281534182,35.49395582965567,238.0085976005,10.36066277012132,193.20034606666667,382.9201832
6,pd,695.635750460546,121.08655655792306,682.0880020015,60.81781984712785,454.472775,1139.730622
6,raoq,13.562145604692917,3.717032881334127,12.988978850039341,3.4741072183258996,5.940920361724915,24.241441306517125
7,fd,NA,NA,NA,NA,NA,NA
7,fdr,NA,NA,NA,NA,NA,NA
7,mpd,251.77457260403182,39.31594999942885,241.2004764761905,13.552108496600031,192.054334,365.7277404761904
7,pd,830.341792330778,147.48860067553935,808.1685650015,67.54877788652774,550.120229,1257.7470039999998
7,raoq,14.04641556929071,3.932232162362888,13.769660273506961,4.661664717984641,6.834493215790846,28.427844260283777
8,fd,NA,NA,NA,NA,NA,NA
8,fdr,NA,NA,NA,NA,NA,NA
8,mpd,243.70271228483136,28.596791971725782,238.607052500375,9.695974991249988,192.26201460714285,349.67225960714285
8,pd,893.753441190754,131.08251869944294,885.6000275,70.91065048410007,500.515572,1343.932608
8,raoq,13.93215192446674,3.233648247557903,13.294927299568933,3.079540224795044,6.29493573327366,23.536455092518583
9,fd,0.004264543291935627,0.005783505916275749,0.00221591192294194,0.0028996150785367144,1.65750311215377e-7,0.03570959851776894
9,fdr,0.4540656960559862,0.0968801860169415,0.46579358081338096,0.09771658283436387,0.142046911070972,0.6593228404111763
9,mpd,242.6145868868849,29.004639359320805,236.1746003888889,9.302138680944223,201.48703794444444,343.25493505555556
9,pd,974.850288450982,159.21464117473565,960.3629625,82.10041831109997,621.635672,1484.389246
9,raoq,14.485796527669152,3.0593041435405626,14.17712378315938,3.301150013417874,7.123464441152358,21.58868195469658
10,fd,0.02731625210587125,0.03810031123933021,0.01391593319987858,0.015253470590477587,3.6923572613844455e-4,0.2635797372984076
10,fdr,0.5911853941790463,0.09115611544972055,0.5860540450709095,0.09236481159715645,0.3723170838970973,0.8464747398473685
10,mpd,249.14170206903168,33.091717491356384,238.14662122222222,9.84909098044664,216.65025011111112,382.7954044444445
10,pd,1107.047820140714,182.89960026859526,1070.451875502,106.04660700393495,841.517265,1593.034035003
10,raoq,14.931245946639255,2.9327146969760487,14.698948586197249,2.795148777008436,8.734931855250652,22.5047132453497
11,fd,0.06781438125363859,0.07665152332787865,0.03882878984230598,0.032213033293493086,0.00117924965202375,0.38673028690305095
11,fdr,0.6738370190483804,0.09245536009803133,0.6662605316187659,0.0762681935554282,0.43047776040807456,0.888026698779541
11,mpd,250.26579344981565,35.119173207143376,238.37970641818185,9.561369724734597,206.24058065454545,423.03254392727274
11,pd,1203.5683890167859,168.90104478164744,1158.9221240020001,94.21717437213464,848.037574,1698.882955
11,raoq,14.677891619162008,3.022866428685731,14.077713454492145,2.741767677567032,8.415109872421874,23.133613802172775
12,fd,0.173630259868643,0.1751224717522163,0.11858049607893896,0.11338156600308658,0.00670689938179848,1.017561505079423
12,fdr,0.7656330874092642,0.09512584641142335,0.7660401546405626,0.09517485971990368,0.5349525029857367,1.0021785049712977
12,mpd,244.40187792760423,22.796937351219842,237.7801311218121,7.626362369977273,219.34281386363637,315.930345469697
12,pd,1265.82690237108,158.59348730798692,1244.5689790000001,96.72086101020007,984.389477,1802.113647
12,raoq,15.223877543791591,2.851154390956436,14.74473174426675,3.18673551676881,9.73863653354685,21.448971967407942
13,fd,0.30236070089916356,0.25199841317538957,0.21683926136207654,0.209395445740925,0.00627645293706999,1.2776852781037178
13,fdr,0.8257461765526585,0.0995621912691626,0.8260012825191693,0.09567422625891975,0.5305352986824244,1.0311052220229466
13,mpd,245.06905185687836,25.648857618043518,238.75453307692308,8.105133410211707,215.26251566666667,355.16980320512823
13,pd,1350.244293191376,179.30110047191823,1333.790327,118.31891153249995,1024.616919003,1893.986605
13,raoq,15.100448886422612,2.908092960190907,15.061882879737405,3.218976401321563,9.87533187781148,21.683465179963
14,fd,0.47641811882778434,0.3874506419728838,0.349040432449902,0.2273213992198868,0.03632579039755735,2.702142811203031
14,fdr,0.8848930136376143,0.08325534292108783,0.8767156978217439,0.080876258175452,0.6607343481140036,1.1323052925701866
14,mpd,245.28486282985776,22.077088810997875,238.50590513736265,7.757085563376914,221.17245690109888,306.8787550769231
14,pd,1454.280906721312,185.48738599981107,1415.545301,130.19104675079973,1106.530001,1953.939905003
14,raoq,15.078844727102481,2.2772775282525197,14.93951186241976,2.2540035347440344,10.579293085197564,22.91216822834727
15,fd,0.8999101168002342,0.8121727118731524,0.618711210312934,0.5149461706691164,0.12259416666064749,4.123453969996988
15,fdr,0.9518124507884924,0.09734690760445483,0.9417502513086167,0.11362769872886422,0.769234449900363,1.1937342205018184
15,mpd,246.01927749862313,24.419591785625983,238.48577226686666,7.542082865520017,207.76581849523808,336.74475175318094
15,pd,1541.021963521102,195.19972695523745,1502.6738880015,140.5858837444761,1059.214817,2064.18434
15,raoq,15.570003835733514,3.062277265993005,14.907264492424138,2.771762845854236,9.720420648126789,26.61149072444073
16,fd,1.1988895694818362,1.005999628288441,0.8551097028785029,0.579054572471985,0.14506337793091273,5.595339863424797
16,fdr,0.9934787118116247,0.09047264508990868,0.9806218677322286,0.08976325504953789,0.7855877872218022,1.2401616828430193
16,mpd,247.63685928869026,21.261473206886595,240.7770333380625,7.727935677019525,223.2508664,328.77262332575
16,pd,1646.167128316522,195.8096457286985,1609.5402225015,141.68343918255894,1273.829128,2175.183199
16,raoq,15.109517242695674,2.4536236335824833,15.388496439678267,2.814939493867117,10.380564114610843,20.52996656721316
17,fd,1.5657863100202598,1.1193857987676006,1.263712995920828,0.6799416333067879,0.2716194984141127,8.93487119059266
17,fdr,1.036353144061365,0.07901291488664008,1.0296888675726135,0.07123416916170099,0.8496598917957382,1.3148797499312652
17,mpd,252.03995567826047,28.597554083746534,240.06644261817647,11.426377061490376,222.01494422058823,383.12973126470587
17,pd,1752.171115551464,240.75815704474402,1671.7167985015,212.68638744780003,1333.092282,2247.3966800012
17,raoq,15.119147044280236,2.3097676782355308,14.88195581691624,2.039689101236805,10.031454716678828,23.333599505882862
18,fd,1.9307220482763083,1.3336253277326129,1.8286224372273265,0.9013744759382241,0.2587397776546372,10.062838686120507
18,fdr,1.0638558033295744,0.08256792175605279,1.0783637249110276,0.0693285350072983,0.8445160351004741,1.334566022939079
18,mpd,246.20032181133493,21.15604124327158,238.46510456535947,8.11081379183218,223.2181719019608,322.9246326862745
18,pd,1784.368093951426,231.65152282797706,1747.1858730019999,208.78173202740007,1331.796122,2343.8070780032
18,raoq,15.174723502873833,2.2012628210276524,15.045254410211392,2.1996913684625854,10.33981370486517,21.599441527419422
19,fd,3.056906342100546,2.057510708740539,2.4666819386609,1.6782658720697978,0.494351967805697,9.989524816150723
19,fdr,1.1225586803367749,0.09594541096832679,1.119456914577876,0.10400208072726234,0.9157027815451636,1.333346741061419
19,mpd,247.63766429890018,23.798605541444147,238.49745291833918,8.392389519941325,223.86653552046783,378.2985759301614
19,pd,1881.405126611774,237.03813459561778,1834.9465425016,184.10796923721094,1441.153504003,2461.700854003
19,raoq,15.26718369443119,2.3304207853322474,15.190118899579197,2.2410916036463493,9.630048737986789,21.322810941785143
20,fd,3.9387674361528986,2.548782058496557,3.30453282739814,2.3648691371957153,0.3429936113903383,13.195299519946069
20,fdr,1.1602098796453366,0.09735096120323046,1.1611511511592578,0.10729722685734953,0.8748039873215046,1.3805508464936216
20,mpd,245.39861649651502,18.44927399824693,238.5461492424053,6.1749655249896955,225.65236874736843,318.3049697267158
20,pd,1946.485133741466,215.72911692306107,1891.6488510035,152.5022856937587,1628.092274,2486.405171003
20,raoq,15.318788974866557,2.435985202298675,15.357542608440117,2.996607458205434,10.531964189113296,22.436140327137455
21,fd,5.271533208634869,3.4313469107673567,4.21397146355784,2.720502262165277,1.122879590858447,20.93428866454645
21,fdr,1.2058477277173454,0.09381573298166122,1.1969781241944724,0.09913605312141442,1.0145925021135416,1.462538394714863
21,mpd,247.09532450165085,20.537161469799848,238.56592254285715,5.848076121216399,224.39447123361904,317.4239937047619
21,pd,2055.203437776834,259.75895729191154,2000.952262503,210.1736932719521,1526.609918503,2655.365301
21,raoq,15.40070724716192,2.3756367303958794,15.487064713734803,2.4371246080223505,10.394160858471244,21.350688898231507
22,fd,5.5255413803278906,3.7448952935072013,4.672751202127886,2.9227569701724843,0.7612347060915701,23.82710256715051
22,fdr,1.2114812677254212,0.09746496849330186,1.2125081376677762,0.1047716184769135,0.9664732152722,1.4863938655440696
22,mpd,243.73067263701202,16.931057193279326,238.4964345695368,7.319555357697828,224.01840975324677,317.9769600654805
22,pd,2084.832315231894,232.51076395589766,2066.4771320025,232.19158424650664,1604.314618,2698.20105
22,raoq,15.304904293631232,2.2044563437191282,15.237510290844941,2.2188596708150987,9.99065555636174,21.232843429058327
