n,metric,mean,sd,median,mad,min,max
2,fd,NA,NA,NA,NA,NA,NA
2,fdr,NA,NA,NA,NA,NA,NA
2,mpd,233.98965490018,43.8986478346748,247.468472,17.414511370199993,3.15212,271.824374
2,pd,233.98965490018,43.8986478346748,247.468472,17.414511370199993,3.15212,271.824374
2,raoq,8.528374337874016,5.10176009791142,7.680699791978771,4.8054033566929615,0.06407256304006809,22.815883250001093
3,fd,NA,NA,NA,NA,NA,NA
3,fdr,NA,NA,NA,NA,NA,NA
3,mpd,235.10219516685066,24.24676795768007,239.87280066666665,16.616631400599992,138.351504,269.47883466666667
3,pd,352.653292750276,36.37015193652011,359.809201,24.92494710089995,207.527256,404.218252
3,raoq,10.049254941285817,4.427022672805379,9.573481052018119,3.7897074221368765,3.345265286913434,26.273152209214143
4,fd,NA,NA,NA,NA,NA,NA
4,fdr,NA,NA,NA,NA,NA,NA
4,mpd,239.01965089186265,12.488601257709414,240.24026875,10.239827582950031,197.64090533333336,265.0280568348333
4,pd,468.794531140392,32.13095008817235,473.35232699999995,22.42866160499992,373.09507,525.883142003
4,raoq,11.542750611615434,4.184897515305026,11.018552519203759,4.410463702803681,4.892225046378712,25.74600570328083
5,fd,NA,NA,NA,NA,NA,NA
5,fdr,NA,NA,NA,NA,NA,NA
5,mpd,236.1346978821544,11.987505133047934,236.3032554,7.760712398880031,191.4439466,260.9475836
5,pd,567.847542710386,46.11698390311933,573.263742,31.550924458200054,412.53328,645.817911
5,raoq,13.023906040601657,4.0984382861706745,13.228681469483757,3.8463839229059706,5.775951519731025,25.949301065667633
6,fd,NA,NA,NA,NA,NA,NA
6,fdr,NA,NA,NA,NA,NA,NA
6,mpd,237.45977256946068,11.312251624996087,236.8162601,10.433611384279994,197.74189266666667,258.03408479999996
6,pd,670.731397220382,55.20675203106148,677.7207905015,53.682661311176126,485.672728,760.24731
6,raoq,13.83512740616856,3.9728744969990233,12.971739712790894,2.947233509712034,6.847243290917239,26.54056704804648
7,fd,NA,NA,NA,NA,NA,NA
7,fdr,NA,NA,NA,NA,NA,NA
7,mpd,234.63108441541524,12.01817638574212,236.7853178095238,12.20548339060001,193.66394752380955,255.40648809523807
7,pd,757.80367043062,69.17156908063767,766.1784700000001,61.558882633499984,526.5675130000001,872.588035
7,raoq,13.970442267637708,3.641414917355938,13.409416081021249,3.3640959942411253,5.941469324592834,24.037698252679665
8,fd,NA,NA,NA,NA,NA,NA
8,fdr,NA,NA,NA,NA,NA,NA
8,mpd,236.09839494305965,9.413159257872664,236.64684894642858,9.973543789125001,202.41839717857144,253.18964321508577
8,pd,861.77719908081,74.52514610886018,878.2387719999999,71.10707496900002,652.2352110032,981.9176120032
8,raoq,13.526196706311772,3.2991992103325907,13.156652745959793,2.942501558617996,6.7464584608150835,22.856443130459255
9,fd,0.004427541687228048,0.010522668195020533,0.0013477965320390101,0.0016006845945099038,9.31133520471322e-6,0.09185626681704626
9,fdr,0.44666748655297966,0.08918069107976835,0.43771827759050064,0.09393548453001847,0.23503172884356677,0.7419738491984721
9,mpd,235.7820233651409,9.273645751845693,235.12539225033333,8.28858250071088,190.3443896111111,254.77987133333335
9,pd,950.680091610634,75.02551211557208,954.8778745,78.38115090119993,677.931072,1099.853273
9,raoq,14.636689222659372,3.143824428543061,14.229471801064571,3.0588240046934683,8.515034349739595,22.54136341011423
10,fd,0.020066414371162643,0.027051181206505813,0.01102727664948034,0.011398052529128636,1.5683692270103164e-4,0.15927070024226314
10,fdr,0.5694118071852156,0.09030507464599641,0.5692571932366359,0.08564502609961332,0.3345268946282694,0.7948167048131327
10,mpd,234.94584938481626,7.121626354996382,235.2095571333333,7.541168628911486,219.50758166666668,248.91400955555557
10,pd,1038.385634720748,79.97675549815085,1046.1526600016,82.1488770921,863.3930470032,1190.060065
10,raoq,14.526522604429658,3.2209817581462574,14.237898170775903,3.4615446702982218,8.485836509387502,22.84685659229436
11,fd,0.08369448118978308,0.10477353324040904,0.04546519034453826,0.04381079327816599,0.0046285719906044,0.5905579000277241
11,fdr,0.6875720666543655,0.09616713536740115,0.6795293025164479,0.10777512500579502,0.510717662789348,0.9362844496715296
11,mpd,236.4594505794069,7.7611887360024285,235.28538120000002,7.382827850007256,218.60159589090907,253.81403320054548
11,pd,1134.210329470722,81.71722703089883,1134.0954865015,87.29927307780004,934.1301080032,1315.9014770000001
11,raoq,14.829241566620615,3.398508700223598,14.754132236528132,3.6837400322770253,7.553751247228721,25.103035233822947
12,fd,0.19134026675131943,0.17537002958569767,0.1185412798612499,0.11050543447041149,0.00208429544539004,0.8218904634360221
12,fdr,0.7715942431855242,0.10522774468036859,0.7660060144998933,0.09829229075064902,0.4622425389408229,0.9757796186584078
12,mpd,236.50360051517234,6.065814013960753,236.74728322777273,6.076676731214049,214.25317353030303,248.6881730606061
12,pd,1228.939884661034,77.0313413623738,1237.3031545015,66.39269755637608,990.862367,1395.776685
12,raoq,15.394084426251187,3.0921088038420272,15.380268291954497,3.0698888502200647,7.993554014886636,23.948993625174353
13,fd,0.29767927992275917,0.3311376820827103,0.21422836878471918,0.17592456898729733,0.02324849218820393,2.661716126924631
13,fdr,0.8251721816242417,0.0889735689187186,0.8248204143253388,0.08767375531406534,0.6248839195930841,1.1301737527598306
13,mpd,235.82539347602483,6.6643870261346345,236.478655,7.081306151338458,218.59452835897437,248.5418021543077
13,pd,1299.365536860828,94.0660419065224,1303.5540115032,102.01363625825567,1025.781173,1465.285339003
13,raoq,14.918217746647302,2.572361807958635,14.911823787822282,2.646207480059845,10.27330609857895,24.38471599283335
14,fd,0.5400400996845036,0.45454367108115945,0.36778708564054646,0.33545048164126695,0.04578291017269074,2.8120213305944723
14,fdr,0.8917995663935789,0.09695567294109722,0.8824661369337047,0.11417010574108813,0.6801237243908773,1.13796086397762
14,mpd,236.7169172867594,7.047549132309614,237.28194577472527,7.0976737889130455,211.0583387912088,249.77092806593407
14,pd,1398.633199801162,108.62564134487933,1407.0231555,114.05724900174785,1023.213989,1574.947602
14,raoq,14.883412375373295,2.5912920035547127,14.41327693793751,3.076973594576594,10.141253377673335,24.508672044577743
15,fd,0.9179964091968875,0.7831197632701032,0.7080031662143969,0.42317679485985177,0.11450005484620764,4.072899497425884
15,fdr,0.9600299336372865,0.08906569089156016,0.9577549262155518,0.07138958074325212,0.7626946707966881,1.191894900614356
15,mpd,236.23619402693632,5.70987590733852,236.20010237142856,6.877252464800004,224.6416207809524,248.86730068611428
15,pd,1465.177298476308,113.48789201023163,1458.371069,141.64208576502392,1197.473725,1687.454555003
15,raoq,15.46624397338285,2.8017975760021816,14.89667730849694,2.3377007102694534,9.39655682501538,26.368659736852297
16,fd,1.2243971674954546,0.9853772555789568,1.0026688436487234,0.7060313287279838,0.1337367840549866,5.703933469749418
16,fdr,0.9948230114417289,0.09485739230866819,1.0003304356993108,0.09410407683573295,0.7776449560851956,1.243145053981776
16,mpd,237.24665797007742,5.570061695023085,237.53473362975416,5.553936403299025,222.94087024204168,247.21946875873337
16,pd,1568.833529261286,100.59304503409257,1579.2102445,120.08516479299597,1288.1623990061998,1730.556624
16,raoq,15.111182404208026,2.5179958991749354,15.041880571642263,2.467720084385713,10.203682083031897,23.07986527468873
17,fd,1.4860692774763844,0.9874448201393521,1.2682227935488883,0.8251846361600139,0.1689186447123278,5.14648646794239
17,fdr,1.0263763081338666,0.08740713521067016,1.030139033561825,0.08001564892609574,0.8006813237930422,1.227266428532828
17,mpd,237.77294518276423,5.452538765851988,237.74244887499998,5.654165674238321,224.41386869117648,252.79036130882352
17,pd,1666.210688557496,113.07737095177355,1664.253692501,109.7970660939347,1283.439551,1961.906429
17,raoq,15.035759319237433,2.3355381546120553,14.947955941759712,2.080273647611192,10.040571897112777,20.02575350307892
18,fd,2.417413109085836,1.8870259009664547,1.9818057095385484,1.088706724059024,0.379490488169023,11.187748432304971
18,fdr,1.0896686817709451,0.09102014250361333,1.089255539091543,0.07361146835677064,0.8859314351621711,1.3523616185504128
18,mpd,236.51106368844265,4.98559389903542,236.3246689348072,6.075508791841169,224.84536055555557,246.9079327647059
18,pd,1707.768300891278,112.3874727989077,1705.3984865,127.9936304390477,1476.991981003,1956.535051003
18,raoq,15.303329429744768,2.170872204127997,15.210760664124408,2.187910062538488,9.886745327378396,21.69479252563232
19,fd,2.8562370253973755,1.9717302652167459,2.356788437805353,1.7140353427071373,0.2626645222148426,12.72033353860615
19,fdr,1.11249109604985,0.09705041611854114,1.1130926741991545,0.10990180190158422,0.846106783891062,1.3742391360964077
19,mpd,236.38019641593894,5.460479190545119,236.73489854401754,5.955672486535837,224.0310867017544,246.50508318128655
19,pd,1789.79598079142,138.4894332963914,1794.679715,148.6468110836721,1431.139142,2084.806886
19,raoq,15.074530579436555,2.4011085821319544,14.948294350439078,2.7239638665182473,9.486945235559736,22.56661491236799
20,fd,3.6931965335645387,2.1409987744045935,3.098270030897784,1.8459169069135224,0.6928914043042131,11.73535124999948
20,fdr,1.1565191488773716,0.0851577703666573,1.1518329083733843,0.08140374261674868,0.9551754391307846,1.3604638667483615
20,mpd,236.05299403390063,5.100494346858601,236.12085768157894,5.713387296265578,224.02747132105264,246.2141855894737
20,pd,1862.906555931638,125.64606443406412,1863.9133085046,132.70521907899632,1576.118916003,2151.921447
20,raoq,15.354357177709037,2.2309326520315844,15.475851996417159,2.596678873579855,9.936417468051848,21.05124371435963
21,fd,4.575631646963315,3.030348017888772,3.824169804684196,2.0998810816982605,0.5043506924039203,21.03192800947323
21,fdr,1.1860190418327394,0.08972143325864632,1.1825428210700402,0.08377015415780485,0.917997667396504,1.463389335653109
21,mpd,236.65351616005182,5.282091093697616,236.59820175252383,5.250029240239987,224.08568289523808,250.59001117171428
21,pd,1931.417308611544,129.75495664032098,1929.0408430046,139.1668205742959,1502.446644003,2217.727587004
21,raoq,15.386001779249533,2.123740366702667,15.522846941805383,2.249129699868121,8.8300193729017,20.639441099002944
22,fd,6.045073936376885,3.8886715895380113,5.195695504505761,2.2269988767966375,0.8086685904796403,26.843447153891844
22,fdr,1.2288100658398282,0.09173836982598059,1.2287102534407879,0.06966405167905235,0.9738034792369548,1.5087065844335847
22,mpd,237.23046929272866,4.864978353138061,237.14997898714935,4.7788646987363546,224.63169671861473,247.50723083578873
22,pd,2017.30208651192,138.11863021514353,2035.6449700019998,118.73572451051379,1623.635485,2379.009896
