grid_id,n,pd,mpd,raoq,fd,fdr
39107,128,6406.1717405182,230.86629870144088,16.282333477832243,636.4934530773024,2.241167121404433
45495,779,18567.4214415802,234.92969067002184,12.941629333872694,2458.9692155755274,2.6536530240516125
35648,52,2772.964420006,211.66340936071344,18.40741608329145,104.46586506173651,1.7880176462849768
32964,288,11465.1597665306,245.84937377676314,17.709802371486003,2726.148010126978,2.688089217952224
31430,223,10274.6540391528,247.4265597420079,17.540847091629605,1896.5664159182206,2.5688929506360276
21104,56,2709.1669699999998,327.50696297857144,17.156364569014816,61.692265358270255,1.6740901447436338
25768,25,2266.485126,257.99089405333336,17.028546405052108,5.921346064075994,1.2489715777032842
10252,5,882.259906,375.9433314,14.629569366627988,NA,NA
8734,3,14.842176,9.894784000000001,1.468358298007324,NA,NA
59326,101,6149.088570006,268.2254669783366,19.357855508295366,731.1073576648151,2.280329703099955
6868,1,0,0,0,NA,NA
11071,8,1184.40127,443.45871439285713,22.653353374888873,NA,NA
23865,189,8292.018936602999,293.4548761022044,19.177341482268037,1913.8754370460138,2.571811941907204
30507,10,943.9845819999999,223.95893288888888,16.857523328122046,0.010363762365045364,0.5648585160989607
34759,46,3391.054226,254.45814671594204,21.538080805173017,103.74215544204921,1.7864645736552947
35786,443,15468.3497516936,251.927850282083,16.678395588787676,3328.271511804933,2.7559881345767145
42584,247,8940.3072615174,222.92013882717094,14.70959601975267,977.7291186613661,2.3647069004584385
44407,701,20051.534665621,243.3333460148918,16.077900668349415,5217.853571253064,2.915321704268991
43443,265,8744.6112940272,227.464966436119,14.63857737085695,881.617287046803,2.334317963807445
18048,3,657.4424879999999,438.294992,16.56881541072585,NA,NA
20427,167,6142.66772,315.62906519385325,18.418680061307327,1066.4067421349537,2.3905088743008323
42997,880,20282.3965822478,231.5750429949772,13.28367680964448,2208.198778828521,2.61821176879529
15764,181,7136.440294,396.80859371319826,22.140285678574667,1468.4672780852943,2.4880438727934875
60620,85,5804.922928,284.24346160336137,19.57419770639219,586.1022757432094,2.2181794420464285
30103,14,1286.126382,227.54326913186813,16.96762612146863,0.9914938222637749,0.9989327496997779
11517,14,1300.124509,423.4263627252747,19.79188463477402,0.23443926161242484,0.8341685137981553
32603,5,598.825838,240.40602459999997,19.133440691478672,NA,NA
31793,8,824.3750610032,231.36404914365716,19.00358509874833,NA,NA
33933,10,800.153434,215.88733942222223,18.649075387052193,0.013022900866028966,0.5812172119145782
16788,21,1738.535079,346.00771335238096,17.560460142221668,5.556861424627998,1.2390924074040994
11539,10,1174.231392,404.0636601333333,18.24459840407027,0.010282550862808272,0.5643033237879604
29650,14,1117.060803,213.1662899010989,18.115912569949092,0.9503696072335958,0.9936571625353203
13756,15,1183.409202,314.82766704761906,14.748766087920584,0.08048907728888047,0.7298222820666616
39548,52,3546.186847009,227.42327465268403,18.146157977848283,142.03692761285023,1.8580190339770803
12024,11,943.709841,263.3310864727273,12.106945628882146,4.895564305325805e-4,0.38567842500309585
20811,100,4657.216468,363.51408946828286,22.56546767817526,605.4304650469004,2.227193927613279
21093,14,1501.9690919999998,325.6583770659341,15.131512560430295,0.16279981868469212,0.7969970971709565
15447,27,1744.604476,335.34427432478634,17.77559756812821,5.505058658435449,1.2376425839786394
47652,988,22926.6839325606,236.13994249752616,13.78932032633553,3586.5634194730696,2.7818570819789956
48618,50,3367.184645009,225.37741048525797,16.753024451054202,80.04625713494818,1.729488301398607
51105,30,2191.4720130062,229.69377264639036,20.98664185964546,46.75138977900282,1.6170532281554506
9912,5,766.167918,329.5992834,13.844093976022961,NA,NA
44725,159,6759.150984013,228.02185441286952,13.055102804562257,303.5800834685822,2.04307429388702
43865,443,13830.8465540524,231.43390377110163,13.693214285831017,1405.139864007622,2.474371725514399
32208,2,247.46847400000001,247.46847400000001,8.68009777677245,NA,NA
62338,74,5004.49466823,299.7151591482636,17.644350820765716,246.0927501681342,1.9901570640091573
24947,2,76.077323,76.077323,6.479137484549078,NA,NA
43874,220,7696.555194519,224.35257927971682,14.436381046480951,563.6257060561967,2.2073634597182834
27559,467,14264.3596009182,282.8610188249559,15.574701430235413,2245.8949383260765,2.623757418580251
14803,9,832.942911,352.50760505555553,16.19724469143651,1.4931226939883033e-4,0.33247725253257626
39877,666,18973.9575805754,237.79944153871227,15.481758277504262,4835.4736159741105,2.887718646904983
33087,3,337.219542,224.813028,9.081121071320407,NA,NA
54588,619,18308.609778592,239.50437762932097,16.04934692889363,5486.409401260133,2.9336684244747335
17808,36,2286.636792,292.0045537238095,16.47878737814836,17.515499479715473,1.4303022301376147
20833,46,2934.299381,299.3110544057971,21.424994436430573,176.9909304292065,1.9098263302303617
14335,25,1352.687894,351.9784358466666,14.087256187429075,0.9276810727470725,0.9906604772022024
7591,13,1285.696763,397.8831831025641,19.83215578939699,0.15723259065753975,0.7935381693942724
47241,608,16510.4013795486,233.04581922051668,14.369802444304357,2837.3259982691256,2.701554011392231
26673,14,1630.179522,287.13704392307693,14.823568379307577,0.30882970996319564,0.8634056458393331
20260,32,2346.544053,367.3731766048387,16.972203854213678,14.134571555084293,1.3924683448674702
11544,6,1042.6539659999999,474.74833133333334,19.164696380914556,NA,NA
53953,73,3181.3443430029997,216.12628157542466,23.658648045018325,384.990385819838,2.1046565512257134
8668,8,884.925753,263.30522160714287,12.593778046649614,NA,NA
21721,255,8086.281151,333.19251175531883,20.282666506147446,2225.7043324065203,2.620797307452198
20602,12,1003.090429,218.7849088939394,16.005279422598882,0.10666454876724703,0.7559664338783707
23235,21,1634.186715,349.6556598952381,17.075734941745928,1.5539114319246332,1.0566430059114518
25379,2,76.077323,76.077323,6.479137468477782,NA,NA
5949,1,0,0,0,NA,NA
28781,9,871.972059003,225.7522476117778,17.80344206589558,0.034588740368681134,0.6566997384307963
19086,91,3570.828864,355.8119383101343,21.753746163217222,363.13795984411064,2.0893392174590097
24577,148,7374.299478003,321.3164260753301,18.364821330150868,918.9344612148855,2.3464460177656647
15349,207,7298.5164810999995,388.9141206185545,21.980370499541785,1987.7595546911325,2.5840176824352707
27474,40,3245.076693,249.4924937051282,20.502034696855148,106.09877683843527,1.7914875614495915
29622,2,247.46847400000001,247.46847400000001,9.389210291280172,NA,NA
16926,59,2709.294465,379.9128366616014,19.657372439755044,44.66830973048416,1.607866326398616
