grid_id,n,pd,mpd,raoq,fd,fdr
26889,176,8610.356763118,263.8554408320747,18.12213205592091,1762.9291312952353,2.5455366646651822
9454,5,657.724784,264.5334032,11.815612292982651,NA,NA
23697,161,6668.585656,306.57880824006213,16.444699407823773,646.5350221457481,2.2455566042384865
9756,23,1924.757455,358.7881042213439,19.71707468493714,4.466845341888723,1.205730132368102
33955,8,721.929692,218.44518792857141,24.691701490286793,NA,NA
10309,11,816.983601,170.22963312727273,8.524300791047542,2.2103294690548636e-4,0.34918624413040417
14037,121,5277.807394,404.8937428564738,23.638136612519023,1170.081554473285,2.4183937769133133
18386,102,4924.990757,354.75768823684723,21.362752036113164,719.9546627434032,2.275952236223761
20967,153,6817.532473003,352.3708618796402,20.94048507298982,1613.9330002127194,2.5175939584544227
17501,254,8774.285972399999,381.49186961552397,22.602380793494156,4336.862056144827,2.848701544749653
7823,8,938.371769,341.4980335357143,13.992284826927182,NA,NA
10627,13,1475.061119,376.3043536153846,21.29724647262861,0.11012484339311852,0.7589893167595226
25276,19,2148.182664,350.7541314035088,20.505518540417476,9.015334683232735,1.3163541039250726
9812,6,947.727267,425.3960706666667,17.7700288034997,NA,NA
21942,6,1090.995405,372.7952909333333,13.57542288269852,NA,NA
12421,15,1297.7179899999999,376.0431152,18.10828853894742,0.7828851750230704,0.9698671698572036
21053,29,1734.974028,236.09145574384237,17.326665428122457,17.702012275358587,1.4321972308915178
37800,206,7515.9762225152,224.25491457864626,16.323348485232565,1017.0181915635205,2.376381102755019
60410,99,3648.0042169999997,183.0475833696145,17.539605762125937,212.05261420635304,1.9534641877883272
53300,1120,25424.6640671306,237.45278258236206,14.98630939411142,6429.791606778935,2.992434217936686
24003,59,4193.115009003,283.5615236880035,19.06483292686408,274.0214356852996,2.0170797396320137
61735,153,6466.649916002,294.31678614691293,27.637064758769508,3317.083460875076,2.7548283892822414
14140,20,1582.034417,363.9934479,18.205396592321968,1.5004859442204765,1.0520321001569293
29604,7,695.7134560000001,229.37753247619048,18.676333351640714,NA,NA
15218,14,1277.786775,408.7984598901099,14.545251606205865,0.04762373689683944,0.683483341155583
48509,161,8473.727661707,238.70311317199534,17.967706588305834,949.6900986876718,2.356121806332312
33482,14,1013.03382,209.0055008241758,15.304184371696678,0.2865473353291866,0.8553612008276167
52404,23,2203.64168,260.82780939130436,20.559553842519595,11.473554500488627,1.3566325964909678
38279,138,6828.4061180126,256.3400056665319,19.126979232624045,1147.165434798661,2.4124218680759864
59111,87,3614.69992,222.15271818123495,22.35322087836565,301.4900379602119,2.041310741259759
61920,44,3674.942761,284.54675665221987,20.71268641466082,171.64143739090318,1.9025135906786736
33523,8,721.929692,218.44518792857141,24.691701537567496,NA,NA
11152,5,778.4543299999999,333.4935896,13.004665103041843,NA,NA
11027,63,3058.483944,406.0966913865847,24.290012075298026,238.51417795791306,1.982390806587797
56739,242,10405.3054005336,236.13365139532587,16.78722878516204,1661.5319773976773,2.5267576427764764
42157,139,6398.9439175124,226.8874178549381,15.767991424966379,588.4275475410518,2.219277573690063
10300,8,816.7417899999999,228.97708835714286,9.614967689400617,NA,NA
13683,24,1844.835004,350.7714234782609,18.759772453453937,6.794790529814968,1.2706384967803828
50784,43,2824.129269015,228.41764047024364,18.580684662747778,53.280389914296514,1.643693827625076
32302,324,13036.697098050001,239.1728891519541,16.69363293970416,2673.9350197843396,2.6815991305475895
19135,67,3004.470411,338.2188035911352,17.296356321251167,85.64948815379782,1.744177165572591
59860,121,6533.6654260064,270.4788530846788,19.398205788538124,953.8505229595481,2.3574095593236923
28365,11,953.6123620000001,223.98226265454545,17.926071816420393,0.03503615531269766,0.657755601648856
23850,106,5275.529746003,356.4435991842435,22.282021306094947,748.6821603099451,2.287110699503326
18679,84,3162.504813,316.65460269018934,17.770410805729774,181.7197139492731,1.9161312577697711
49057,52,3325.6664360182,227.7780550572611,17.912463548353212,106.91196151934724,1.793198170903942
19358,5,975.995425,393.76292379999995,11.997667129347832,NA,NA
62352,35,2761.8776279999997,231.2682607394958,20.865312487406403,107.71451656253439,1.7948752936964563
16510,22,1881.996515,312.84948981818184,16.21452430340592,2.4713384760732566,1.1197382886203076
10316,9,703.297131,163.8198265,9.296994649648582,9.849213643476814e-8,0.13309912326559759
39017,698,20123.08813058,235.26892148412048,15.865339468945622,4936.463706503626,2.8951894900141313
15851,8,1329.927228,338.00500439285713,17.94751136805925,NA,NA
54155,533,16613.5997785798,235.67995426605998,15.828778901954813,4268.91469500876,2.843083956016843
50692,520,15347.7977325512,233.4044266508787,14.952853431083707,2667.988778248538,2.6808529937220626
15250,10,1056.682493,389.10322386666667,14.977877511947069,0.0016215126927890586,0.44796083352558175
36072,79,3792.3655270092,217.39163134330335,17.311841765890446,197.02463118128992,1.9355975574686541
16108,23,1329.768978,327.63734046640315,14.188565362459752,1.123774420180716,1.0146935337328822
11654,1,0,0,0,NA,NA
52949,138,5742.7651290242,222.57351237092092,18.077985878488125,730.0884023277538,2.2799321944235382
44446,92,5764.398631019,270.1019978520614,16.079788196671757,339.21461418294064,2.0716162990800644
25139,142,6409.695987003,348.21111838931404,22.37206505502076,1411.9465660677693,2.4758668368823122
53703,27,2415.634804,253.53067878632478,19.72203669655006,16.023235513010707,1.4144701179910681
23199,39,2843.291589,297.88529678812415,20.852344854742473,103.77863779924867,1.7865430909337212
52207,159,6019.373801006,227.11671725761866,21.91883875670896,1207.2767120580245,2.42787237107282
16932,31,2069.212728,280.2148792860215,14.199201938026812,5.503388034572485,1.237595629215492
59766,140,7974.780766021,248.90971580502764,16.75424736282092,713.6623119985626,2.273456219579734
38248,116,5430.698347009,223.29706148756148,17.757197115095288,492.775307525312,2.1706065900175333
37028,280,10867.6481840516,230.05581239698915,16.604395491696586,2223.483033941435,2.620470213437808
50357,57,3426.6803060182,231.1243368289594,17.877956039268327,151.75076373622946,1.8734467813589886
25830,264,10229.173483003,316.3991132211484,16.68138973427519,1239.7040134565664,2.4359297018604282
31001,222,10592.6253156436,245.25790071883884,16.55175471509277,1600.9940694636614,2.5150621150758004
28775,11,1094.795443,229.40923123636364,22.603148499938744,0.5895853419513583,0.9360915710909886
51128,545,16576.0383435584,234.78504470625182,14.950792141649135,2881.665016105254,2.7067954436682093
21249,81,3543.843489,355.051188591358,21.834058293667244,323.85634786149575,2.0596529666825325
