"","grid_id","n","pd","mpd","raoq","fd","fdr","Zpd","Zmpd","Zraoq","Zfdr"
"10520",10791,2,231.57113,231.57113,4.91905792127424,NA,NA,-0.276969735307712,-0.276969735307712,-0.593177116700428,NA
"10521",23967,114,5849.950374003,318.695304389278,23.9054226027573,2128.38165035362,2.60619068530217,-3.57451178193832,7.66465696260194,8.1744427560662,7.50231531824577
"10522",12870,5,773.353037,332.473331,15.7912615716999,NA,NA,1.45549922192963,1.77078000399175,0.546358515267293,NA
"10523",60181,47,3929.165105,314.523914390379,17.901794098284,101.184404413832,1.78089862033651,0.437347156462286,4.3177054484493,1.5452337270586,0.861198973978314
"10524",33921,16,1158.193781,204.895742008333,17.8106289023219,1.07431925604948,1.00900117041971,-2.12929123852198,-1.77325707958114,0.919268005635968,0.171864083569915
"10525",63206,20,1785.499347,231.883745226316,17.2454181027689,5.64666847442213,1.24157807929959,-0.826606493491044,-0.80990924987489,0.685954052011848,0.804317988796477
"10526",21266,47,2942.346735,281.866756808511,20.6263434283042,173.271277242796,1.9047624551842,-2.48306002934691,2.20274560612376,3.59741262089339,2.43389265153971
"10527",19943,128,5101.058704,390.167940800566,23.3784599078366,896.321026861144,2.33914933146673,-7.05338771101443,14.2909068713727,6.35714312444517,1.35373810767967
"10528",15398,43,2626.249937,269.92035758804,16.7251097426385,63.5178175456962,1.68020373555547,-3.04241156276343,1.72979454579952,0.467886392700619,0.254023235677573
"10529",45948,776,18602.4191705472,232.448271307149,13.9366637469682,3505.4473324449,2.77391360620058,-11.416481032269,-4.74427509515316,-7.36787327998516,-4.42818978687163
"10530",15429,8,1138.872889,316.606231178571,15.8842607776834,NA,NA,1.44881606919893,1.97176160527554,0.346648134082821,NA
"10531",24923,33,2977.747119,337.4460395,19.5730811706635,59.4770637657096,1.66645538113876,0.2644832684422,5.95141767938208,2.15014791034853,2.19596483213982
"10532",46039,109,5506.7414615212,229.952921604364,16.0875624988994,432.988340906575,2.13579480234607,-3.97208310875826,-1.81511658736197,-0.179439888863284,-0.230729183598578
"10533",20594,6,632.5725,227.5823622,15.9338772775414,NA,NA,-0.559382636064961,-0.470333896982777,0.588312153341774,NA
"10534",14632,11,1170.649591,383.713825781818,15.4460297923287,0.00938867722711945,0.557924651842811,-0.151782307326741,4.71058533717112,0.119324494094961,-1.43907486927852
"10535",30989,156,7695.5262240428,232.315197203857,17.5588907378809,1101.67955078577,2.40025239122031,-3.07203892567236,-2.10438020942765,1.1884897986015,1.15315730139666
"10536",33971,13,1036.262918,218.054988025641,17.0504125112379,0.173736652883619,0.80350101793598,-1.81570050645036,-1.19169629935236,0.610220613204269,-0.42475431157483
"10537",19514,113,4733.072134,374.972300421934,23.0768016039537,713.050730208303,2.27321259490376,-6.53654633689888,14.7050383049096,6.35507552495963,1.43860605041097
"10538",41378,904,22775.8135374008,245.537843381033,16.1435178169735,6314.03688580698,2.98564652259436,-8.38139443373609,-0.66550782414717,-0.902965758532999,-0.517156462577447
"10539",37860,11,816.030607,200.890984436364,12.5489612291974,0.0126264043197341,0.578975200116491,-2.13970411248635,-1.60718944263971,-0.815382348510564,-1.22592645111709
"10540",57606,287,12443.0319200362,247.97428450487,16.3050521614181,2589.70193102505,2.67089135611346,-0.985296916139869,-0.0484709488025719,-0.236438534839543,1.34255758381414
"10541",60408,119,4160.186978,203.327615700043,18.283633131612,276.493241191839,2.0193451931692,-8.58238401405764,-5.35330655711502,1.8768947455369,-2.79109220934774
"10542",52545,268,11531.9958120364,237.618327084346,15.5855465572258,1718.31354922097,2.53739337624468,-2.32350349443851,-1.7519551297596,-1.4685431097488,-0.436706847286024
"10543",38251,95,4685.890787009,223.782661030425,17.8021474023377,274.699850502099,2.01770329343656,-4.76426871995046,-2.61781803780319,1.57276688960957,-0.880389428890058
"10544",50353,40,2832.715397012,231.223074715985,19.5261540934141,53.4283861506218,1.64426384361346,-1.96160166466544,-1.15345919045213,2.10380101683756,0.324688408935682
"10545",54806,57,2936.493203,214.377582105263,23.7436235861578,236.218238890715,1.97999538688426,-4.6201248306602,-2.56838330110053,5.39951043782792,2.0900263084936
"10546",9170,3,14.842176,9.894784,1.46835828951175,NA,NA,-3.77790009644161,-3.77790009644161,-2.18533760484891,NA
"10547",42462,1065,22978.5325045884,234.051590780656,15.2673711848897,6254.09224869456,2.98208855088015,-11.3981208265262,-4.60814790515608,-3.58065531943759,-1.78655281316079
"10548",35530,87,4731.703216011,231.280966843878,19.1126271037093,557.828293086081,2.20451250782168,-3.41256167455246,-1.74128469483177,2.73475438312754,2.40616136562164
"10549",9497,2,231.57113,231.57113,4.91905792543673,NA,NA,-0.276969735307712,-0.276969735307712,-0.593177115889379,NA
"10550",29034,121,6249.994860009,307.915084325493,23.8004565396201,1861.79573400238,2.56295808577586,-3.24027142080272,7.48154387147676,6.91962356616259,4.45875468899296
"10551",7745,1,0,0,0,NA,NA,NA,NA,NA,NA
"10552",47343,345,11622.731603561,236.730880888625,16.6907470615586,2665.46297272288,2.68053561422282,-7.8455346206636,-2.00745767652624,0.541054602331838,0.568452041709819
"10553",42149,188,7042.8478540184,220.130993400127,14.6716515072997,512.77226527187,2.18142640577792,-8.0699791143204,-3.98840010396414,-2.11887654475805,-3.6666991407744
"10554",12158,23,1263.416279,301.422823328063,13.6612023534954,0.358865483977381,0.879764556144086,-3.40438520754862,2.54485909968219,-0.971010511164245,-3.77885878477152
"10555",22781,23,1495.690092,235.89719260079,19.5017473937784,13.5876297039581,1.3856162337194,-2.57454456647181,-0.597390203794758,1.64549253822697,1.13498963212036
"10556",44186,1027,24982.8512125954,239.032325856461,16.3018646627017,6293.17697736196,2.98441176344693,-6.99275988175947,-3.04539537619587,-0.249817790361603,-1.38009021567367
"10557",13917,10,1040.462403,413.567597155556,16.9272690965877,0.00249537599925421,0.472761388183521,-0.450709183162173,4.25527512765376,0.451272674407408,-1.279164581753
"10558",13221,34,2305.391482,303.635202907308,17.4096281253476,21.4828267843863,1.46727469734399,-2.44004489563273,3.0791063084654,0.770631094634374,-0.509469933021101
"10559",45062,971,21031.6541240952,234.219943178354,12.7485942405622,2790.25426639508,2.69591051489975,-11.7361225298905,-4.54592526940647,-10.9355723798837,-7.73663911989532
