"","x"
"931","Fraxinus_dipetala"
"932","Searsia_lancea"
"933","Quercus_suber"
"934","Pistacia_vera"
"935","Melaleuca_viminalis"
"936","Ulmus_americana"
"937","Cupaniopsis_anacardioides"
"938","Prunus_angustifolia"
"939","Melaleuca_armillaris"
"940","Pistacia_atlantica"
"941","Phyllanthus_caroliniensis"
"942","Aristotelia_chilensis"
"943","Eucalyptus_conferruminata"
"944","Acacia_cultriformis"
"945","Koelreuteria_elegans"
"946","Leucaena_esculenta"
"947","Pittosporum_eugenioides"
"948","Rhus_glabra"
"949","Quercus_hemisphaerica"
"950","Solanum_lanceolatum"
"951","Opuntia_leucotricha"
"952","Genista_maderensis"
"953","Juniperus_monosperma"
"954","Prunus_munsoniana"
"955","Cassia_nemophila"
"956","Buddleja_officinalis"
"957","Ficus_palmata"
"958","Lagunaria_patersonia"
"959","Schinus_polygama"
"960","Eucalyptus_pulverulenta"
"961","Acacia_redolens"
"962","Buddleja_saligna"
"963","Celtis_sinensis"
"964","Eucalyptus_torquata"
"965","Wigandia_urens"
"966","Euonymus_hamiltonianus"
"967","Malus_ioensis"
"968","Viburnum_lentago"
"969","Ulmus_rubra"
"970","Phellodendron_amurense"
"971","Rhododendron_calendulaceum"
"972","Rhododendron_catawbiense"
"973","Taxus_cuspidata"
"974","Corylus_heterophylla"
"975","Cornus_kousa"
"976","Ilex_opaca"
"977","Symplocos_paniculata"
"978","Quercus_phellos"
"979","Fraxinus_profunda"
"980","Kalopanax_septemlobus"
"981","Rhamnus_utilis"
"982","Ginkgo_biloba"
"983","Ilex_crenata"
"984","Aesculus_flava"
"985","Aesculus_parviflora"
"986","Malus_spectabilis"
"987","Juniperus_communis"
"988","Tetradium_daniellii"
"989","Quercus_imbricaria"
"990","Styrax_japonicus"
"991","Quercus_macrocarpa"
"992","Rhododendron_maximum"
"993","Cyrilla_racemiflora"
"994","Picea_rubens"
"995","Populus_tremuloides"
"996","Flueggea_acidoton"
"997","Ehretia_acuminata"
"998","Cassia_afrofistula"
"999","Tabernaemontana_alba"
"1000","Santalum_album"
"1001","Brosimum_alicastrum"
"1002","Ficus_altissima"
"1003","Ficus_americana"
"1004","Phyllanthus_angustifolius"
"1005","Harpullia_arborea"
"1006","Enterolobium_contortisiliquum"
"1007","Vachellia_cornigera"
"1008","Ficus_deltoidea"
"1009","Cordia_dichotoma"
"1010","Solanum_donianum"
"1011","Peltophorum_dubium"
"1012","Dalbergia_ecastaphyllum"
"1013","Mimusops_elengi"
"1014","Vitex_glabrata"
"1015","Corchorus_hirsutus"
"1016","Albizia_lebbekoides"
"1017","Dimocarpus_longan"
"1018","Bonellia_macrocarpa"
"1019","Sorindeia_madagascariensis"
"1020","Diospyros_maritima"
"1021","Terminalia_muelleri"
"1022","Casearia_nitida"
"1023","Handroanthus_ochraceus"
"1024","Guaiacum_officinale"
"1025","Cecropia_palmata"
"1026","Glycosmis_parviflora"
"1027","Ixora_pavetta"
"1028","Pittosporum_pentandrum"
"1029","Psychotria_punctata"
"1030","Lonchocarpus_punctatus"
"1031","Fraxinus_quadrangulata"
"1032","Lumnitzera_racemosa"
"1033","Cereus_repandus"
"1034","Radermachera_sinica"
"1035","Vachellia_sphaerocephala"
"1036","Strychnos_spinosa"
"1037","Polyalthia_suberosa"
"1038","Solanum_tampicense"
"1039","Rhodomyrtus_tomentosa"
"1040","Corymbia_torelliana"
"1041","Vachellia_tortuosa"
"1042","Solanum_umbellatum"
"1043","Xylosma_congesta"
"1044","Sesbania_drummondii"
"1045","Prunus_hortulana"
"1046","Vachellia_macracantha"
"1047","Ilex_rotunda"
"1048","Morella_rubra"
"1049","Zelkova_serrata"
"1050","Tamarix_tetragyna"
"1051","Carya_texana"
"1052","Maclura_tricuspidata"
"1053","Brugmansia_versicolor"
"1054","Malus_coronaria"
"1055","Acer_rubrum"
"1056","Artemisia_tridentata"
"1057","Oxydendrum_arboreum"
"1058","Rhamnus_arguta"
"1059","Pinus_pungens"
"1060","Prunus_triloba"
"1061","Acer_pensylvanicum"
"1062","Pinus_resinosa"
"1063","Eucommia_ulmoides"
"1064","Chilopsis_linearis"
"1065","Larix_laricina"
"1066","Cotinus_obovatus"
"1067","Betula_populifolia"
"1068","Pinus_serotina"
"1069","Cnidoscolus_urens"
"1070","Fraxinus_berlandieriana"
"1071","Photinia_glabra"
"1072","Sorbus_alnifolia"
"1073","Cercis_canadensis"
"1074","Cercidiphyllum_japonicum"
"1075","Malus_mandshurica"
"1076","Castanea_pumila"
"1077","Rhododendron_vaseyi"
"1078","Chionanthus_virginicus"
"1079","Ulmus_alata"
"1080","Salix_amygdaloides"
"1081","Frangula_caroliniana"
"1082","Vachellia_constricta"
"1083","Aesculus_glabra"
"1084","Viburnum_rufidulum"
"1085","Zanthoxylum_americanum"
"1086","Pyrus_cordata"
"1087","Quercus_marilandica"
"1088","Phellodendron_chinense"
"1089","Halesia_diptera"
"1090","Eucalyptus_glaucescens"
"1091","Viburnum_prunifolium"
"1092","Maackia_amurensis"
"1093","Osmanthus_heterophyllus"
"1094","Prunus_mume"
"1095","Torreya_taxifolia"
"1096","Carya_ovata"
"1097","Ilex_cassine"
"1098","Quercus_laurifolia"
"1099","Celtis_laevigata"
"1100","Pinus_monophylla"
"1101","Gleditsia_aquatica"
"1102","Metasequoia_glyptostroboides"
"1103","Abies_magnifica"
"1104","Chamaecyparis_obtusa"
"1105","Symplocos_tinctoria"
"1106","Tsuga_caroliniana"
"1107","Betula_papyrifera"
"1108","Aesculus_pavia"
"1109","Quercus_arizonica"
"1110","Erythrina_herbacea"
"1111","Prunus_americana"
"1112","Juglans_californica"
"1113","Juglans_hindsii"
"1114","Acer_circinatum"
"1115","Pieris_japonica"
"1116","Acer_japonicum"
"1117","Quercus_alba"
"1118","Carya_glabra"
"1119","Carya_laciniosa"
"1120","Prosopis_laevigata"
"1121","Schinus_longifolia"
"1122","Quercus_oblongifolia"
"1123","Maytenus_phyllanthoides"
"1124","Laguncularia_racemosa"
"1125","Larix_occidentalis"
"1126","Grewia_biloba"
"1127","Calocedrus_decurrens"
"1128","Viburnum_recognitum"
"1129","Morella_cerifera"
"1130","Acacia_calcicola"
"1131","Eucalyptus_marginata"
"1132","Salix_mucronata"
"1133","Eucalyptus_occidentalis"
"1134","Buddleja_asiatica"
"1135","Parkinsonia_scioana"
"1136","Crataegus_arnoldiana"
"1137","Pinus_bungeana"
"1138","Tilia_dasystyla"
"1139","Betula_ermanii"
"1140","Fontanesia_fortunei"
"1141","Quercus_glauca"
"1142","Cedrus_libani"
"1143","Crataegus_macracantha"
"1144","Crataegus_maximowiczii"
"1145","Buxus_microphylla"
"1146","Crataegus_nigra"
"1147","Abies_numidica"
"1148","Syringa_oblata"
"1149","Picea_obovata"
"1150","Juniperus_seravschanica"
"1151","Quercus_serrata"
"1152","Fraxinus_sogdiana"
"1153","Sorbus_tianschanica"
"1154","Pyrus_ussuriensis"
"1155","Fraxinus_velutina"
"1156","Acer_monspessulanum"
"1157","Persea_indica"
"1158","Clethra_arborea"
