"","x","y","Grid"
"121",-79.5833333333333,82.9166666663341,121
"122",-78.75,82.9166666663341,122
"125",-76.25,82.9166666663341,125
"126",-75.4166666666667,82.9166666663341,126
"127",-74.5833333333333,82.9166666663341,127
"129",-72.9166666666667,82.9166666663341,129
"130",-72.0833333333333,82.9166666663341,130
"132",-70.4166666666667,82.9166666663341,132
"133",-69.5833333333333,82.9166666663341,133
"134",-68.75,82.9166666663341,134
"135",-67.9166666666667,82.9166666663341,135
"136",-67.0833333333333,82.9166666663341,136
"161",-46.25,82.9166666663341,161
"162",-45.4166666666667,82.9166666663341,162
"163",-44.5833333333333,82.9166666663341,163
"164",-43.75,82.9166666663341,164
"165",-42.9166666666667,82.9166666663341,165
"166",-42.0833333333333,82.9166666663341,166
"167",-41.25,82.9166666663341,167
"168",-40.4166666666667,82.9166666663341,168
"169",-39.5833333333333,82.9166666663341,169
"170",-38.75,82.9166666663341,170
"171",-37.9166666666667,82.9166666663341,171
"172",-37.0833333333333,82.9166666663341,172
"177",-32.9166666666667,82.9166666663341,177
"184",-27.0833333333333,82.9166666663341,184
"548",-83.75,82.0833333330024,548
"552",-80.4166666666667,82.0833333330024,552
"553",-79.5833333333333,82.0833333330024,553
"554",-78.75,82.0833333330024,554
"555",-77.9166666666667,82.0833333330024,555
"556",-77.0833333333333,82.0833333330024,556
"557",-76.25,82.0833333330024,557
"558",-75.4166666666667,82.0833333330024,558
"559",-74.5833333333333,82.0833333330024,559
"560",-73.75,82.0833333330024,560
"561",-72.9166666666667,82.0833333330024,561
"562",-72.0833333333333,82.0833333330024,562
"563",-71.25,82.0833333330024,563
"564",-70.4166666666667,82.0833333330024,564
"565",-69.5833333333333,82.0833333330024,565
"566",-68.75,82.0833333330024,566
"567",-67.9166666666667,82.0833333330024,567
"568",-67.0833333333333,82.0833333330024,568
"569",-66.25,82.0833333330024,569
"570",-65.4166666666667,82.0833333330024,570
"571",-64.5833333333333,82.0833333330024,571
"572",-63.75,82.0833333330024,572
"573",-62.9166666666667,82.0833333330024,573
"574",-62.0833333333333,82.0833333330024,574
"579",-57.9166666666667,82.0833333330024,579
"580",-57.0833333333333,82.0833333330024,580
"581",-56.25,82.0833333330024,581
"582",-55.4166666666667,82.0833333330024,582
"583",-54.5833333333333,82.0833333330024,583
"584",-53.75,82.0833333330024,584
"585",-52.9166666666667,82.0833333330024,585
"589",-49.5833333333333,82.0833333330024,589
"590",-48.75,82.0833333330024,590
"591",-47.9166666666667,82.0833333330024,591
"596",-43.75,82.0833333330024,596
"597",-42.9166666666667,82.0833333330024,597
"598",-42.0833333333333,82.0833333330024,598
"599",-41.25,82.0833333330024,599
"600",-40.4166666666667,82.0833333330024,600
"601",-39.5833333333333,82.0833333330024,601
"602",-38.75,82.0833333330024,602
"603",-37.9166666666667,82.0833333330024,603
"604",-37.0833333333333,82.0833333330024,604
"605",-36.25,82.0833333330024,605
"606",-35.4166666666667,82.0833333330024,606
"607",-34.5833333333333,82.0833333330024,607
"608",-33.75,82.0833333330024,608
"609",-32.9166666666667,82.0833333330024,609
"610",-32.0833333333333,82.0833333330024,610
"979",-84.5833333333333,81.2499999996707,979
"980",-83.75,81.2499999996707,980
"981",-82.9166666666667,81.2499999996707,981
"982",-82.0833333333333,81.2499999996707,982
"983",-81.25,81.2499999996707,983
"984",-80.4166666666667,81.2499999996707,984
"985",-79.5833333333333,81.2499999996707,985
"986",-78.75,81.2499999996707,986
"988",-77.0833333333333,81.2499999996707,988
"989",-76.25,81.2499999996707,989
"990",-75.4166666666667,81.2499999996707,990
"991",-74.5833333333333,81.2499999996707,991
"992",-73.75,81.2499999996707,992
"993",-72.9166666666667,81.2499999996707,993
"994",-72.0833333333333,81.2499999996707,994
"995",-71.25,81.2499999996707,995
"996",-70.4166666666667,81.2499999996707,996
"997",-69.5833333333333,81.2499999996707,997
"999",-67.9166666666667,81.2499999996707,999
"1000",-67.0833333333333,81.2499999996707,1000
"1001",-66.25,81.2499999996707,1001
"1008",-60.4166666666667,81.2499999996707,1008
"1009",-59.5833333333333,81.2499999996707,1009
"1010",-58.75,81.2499999996707,1010
"1011",-57.9166666666667,81.2499999996707,1011
"1012",-57.0833333333333,81.2499999996707,1012
"1013",-56.25,81.2499999996707,1013
"1014",-55.4166666666667,81.2499999996707,1014
"1015",-54.5833333333333,81.2499999996707,1015
"1016",-53.75,81.2499999996707,1016
"1017",-52.9166666666667,81.2499999996707,1017
"1018",-52.0833333333333,81.2499999996707,1018
"1019",-51.25,81.2499999996707,1019
"1020",-50.4166666666667,81.2499999996707,1020
"1021",-49.5833333333333,81.2499999996707,1021
"1022",-48.75,81.2499999996707,1022
"1023",-47.9166666666667,81.2499999996707,1023
"1024",-47.0833333333333,81.2499999996707,1024
"1025",-46.25,81.2499999996707,1025
"1026",-45.4166666666667,81.2499999996707,1026
"1027",-44.5833333333333,81.2499999996707,1027
"1028",-43.75,81.2499999996707,1028
"1029",-42.9166666666667,81.2499999996707,1029
"1030",-42.0833333333333,81.2499999996707,1030
"1031",-41.25,81.2499999996707,1031
"1032",-40.4166666666667,81.2499999996707,1032
"1033",-39.5833333333333,81.2499999996707,1033
"1034",-38.75,81.2499999996707,1034
"1035",-37.9166666666667,81.2499999996707,1035
"1036",-37.0833333333333,81.2499999996707,1036
"1037",-36.25,81.2499999996707,1037
"1038",-35.4166666666667,81.2499999996707,1038
"1039",-34.5833333333333,81.2499999996707,1039
"1040",-33.75,81.2499999996707,1040
