raw_name,trait_name,match_type
Donella viridifolia,Chrysophyllum viridifolium,direct kew
Drepananthus apoensis,Cyathocalyx apoensis,direct kew
Dryobalanops aromatica,Dryobalanops sumatrensis,direct kew
Drypetes pierreana,Drypetes klaineana,direct kew
Drypetes similis,Sibangea similis,direct kew
Dunalia trianaei,Dunalia solanacea,direct kew
Ehretia aspera,Ehretia laevis,direct kew
Elaeocarpus baudouinii,Elaeocarpus baudouini,direct kew
Elaeocarpus ceylanicus,Elaeocarpus zeylanicus,direct kew
Elaeodendron croceum,Cassine crocea,direct kew
Elaeodendron matabelicum,Cassine matabelica,direct kew
Elaeodendron schlechterianum,Cassine schlechteriana,direct kew
Elaeodendron xylocarpum,Cassine xylocarpa,direct kew
Emmenosperma alphitonioides,Emmenosperma alphitonoides,direct kew
Empogona talbotii,Empogona talboltii,direct kew
Endlicheria colombiana,Endlicheria columbiana,direct kew
Endlicheria rubriflora,Endlicheria rubiflora,direct kew
Endotropis crocea,Rhamnus ilicifolia,direct kew
Endotropis crocea,Rhamnus pirifolia,direct kew
Englerophytum longepedicellatum,Chrysophyllum longifolium,direct kew
Englerophytum longepedicellatum,Chrysophyllum sapini,direct kew
Englerophytum longepedicellatum,Englerophytum longipedicellatum,direct kew
Eremophila bignoniiflora,Eremophila bignoniflora,direct kew
Erythrina schimpffii,Erythrina schimpfii,direct kew
Erythrostemon coccineus,Caesalpinia coccinea,direct kew
Erythrostemon epifanioi,Caesalpinia epifanioi,direct kew
Erythrostemon hintonii,Caesalpinia hintonii,direct kew
Erythrostemon hughesii,Caesalpinia hughesii,direct kew
Erythrostemon macvaughii,Caesalpinia macvaughii,direct kew
Erythrostemon oyamae,Caesalpinia oyamae,direct kew
Erythrostemon standleyi,Caesalpinia standleyi,direct kew
Erythroxylum frangulifolium,Erythroxylum ambiguum,direct kew
Erythroxylum nitidum,Erythroxylum deciduum,direct kew
Escallonia myrtoides,Escallonia myrtoidea,direct kew
Esenbeckia acapulcensis,Esenbeckia berlandieri,direct kew
Esenbeckia conspecta,Esenbeckia collina,direct kew
Esenbeckia stephani,Esenbeckia stephanii,direct kew
Eucalyptus blaxlandii,Eucalyptus blaxlandi,direct kew
Eucalyptus cajuputea,Eucalyptus odorata,direct kew
Eucalyptus largiflorens,Eucalyptus bicolor,direct kew
Eucalyptus leucophylla,Eucalyptus argillacea,direct kew
Eucalyptus trivalva,Eucalyptus trivalvis,direct kew
Eugenia bukobensis,Eugenia lokobensis,direct kew
Eugenia chiquitensis,Eugenia orbignyana,direct kew
Eugenia greggii,Eugenia gregii,direct kew
Eugenia guanabarina,Marlierea guanabarina,direct kew
Eugenia guanabarina,Neomitranthes langsdorffii,direct kew
Eugenia lokohensis,Eugenia lokobensis,direct kew
Eugenia longipedunculata,Eugenia blastantha,direct kew
Eugenia platysema,Eugenia oblongata,direct kew
Eugenia regia,Eugenia gregii,direct kew
Eugenia riosiae,Eugenia riosae,direct kew
Eugenia vattimoana,Eugenia brevistyla,direct kew
Eumachia aneityensis,Psychotria aneityensis,direct kew
Eumachia astrellantha,Margaritopsis astrellantha,direct kew
Eumachia boliviana,Margaritopsis boliviana,direct kew
Eumachia carnea,Psychotria carnea,direct kew
Eumachia cephalantha,Margaritopsis cephalantha,direct kew
Eumachia chaenotricha,Margaritopsis chaenotricha,direct kew
Eumachia cymuligera,Margaritopsis cymuligera,direct kew
Eumachia deinocalyx,Margaritopsis deinocalyx,direct kew
Eumachia guianensis,Margaritopsis guianensis,direct kew
Eumachia kappleri,Margaritopsis kappleri,direct kew
Eumachia leptothyrsa,Psychotria leptothyrsa,direct kew
Eumachia membranifolia,Psychotria membranifolia,direct kew
Eumachia microdon,Margaritopsis microdon,direct kew
Eumachia paupertina,Margaritopsis paupertina,direct kew
Eumachia podocephala,Margaritopsis podocephala,direct kew
Eurya groffii,Eurya groffi,direct kew
Eurya lanciformis,Eurya lanceiformis,direct kew
Fagus sinensis,Fagus longipetiolata,direct kew
Faramea truncata,Faramea corymbosa,direct kew
Faucherea longepedicellata,Faucherea longipedicellata,direct kew
Ficus ampelos,Ficus ampelas,direct kew
Ficus longecuspidata,Ficus longicuspidata,direct kew
Ficus organensis,Ficus cestrifolia,direct kew
Ficus sakalavarum,Ficus sycomorus,direct kew
Ficus scaberrima,Ficus pisifera,direct kew
Ficus solomonensis,Ficus hesperia,direct kew
Firmiana kerrii,Firmiana kerri,direct kew
Firmiana minahassae,Firmiana minabassae,direct kew
Flindersia ifflana,Flindersia ifflaiana,direct kew
Flindersia oppositifolia,Flindersia pimenteliana,direct kew
Foetidia asymetrica,Foetidia asymmetrica,direct kew
Frangula breedlovei,Rhamnus breedlovei,direct kew
Frangula marahuacensis,Rhamnus marahuacensis,direct kew
Frangula mcvaughii,Rhamnus mcvaughii,direct kew
Frangula oreodendron,Rhamnus oreodendron,direct kew
Frangula wendtii,Rhamnus wendtii,direct kew
Fraxinus pallisiae,Fraxinus pallisae,direct kew
Furcraea macdougallii,Furcraea macdougalii,direct kew
Gambeya africana,Chrysophyllum africanum,direct kew
Gambeya albida,Chrysophyllum albidum,direct kew
Gambeya beguei,Chrysophyllum beguei,direct kew
Gambeya boiviniana,Chrysophyllum boivinianum,direct kew
Gambeya boukokoensis,Chrysophyllum boukokoense,direct kew
Gambeya gigantea,Chrysophyllum giganteum,direct kew
Gambeya gorungosana,Chrysophyllum gorungosanum,direct kew
Gambeya lacourtiana,Chrysophyllum lacourtianum,direct kew
Gambeya muerensis,Chrysophyllum muerense,direct kew
Gambeya perpulchra,Chrysophyllum perpulchrum,direct kew
Gambeya subnuda,Chrysophyllum subnudum,direct kew
Gambeya taiensis,Chrysophyllum taiense,direct kew
Garcinia acuminata,Garcinia elliptica,direct kew
Garcinia lujae,Garcinia lujai,direct kew
Gaulettia canescens,Couepia canescens,direct kew
Gaulettia cognata,Couepia cognata,direct kew
Gaulettia elata,Couepia elata,direct kew
Gaulettia foveolata,Couepia foveolata,direct kew
Gaulettia parillo,Couepia parillo,direct kew
Gaulettia racemosa,Couepia racemosa,direct kew
Gaulettia steyermarkii,Couepia steyermarkii,direct kew
Geissanthus serrulatus,Geissanthus serulatus,direct kew
Gelrebia glandulosopedicellata,Caesalpinia glandulosopedicellata,direct kew
Gigasiphon amplum,Bauhinia ampla,direct kew
Gilbertiodendron breynei,Gilbertiodendron breynii,direct kew
Gilbertiodendron ngouniense,Gilbertiodendron ngounyense,direct kew
Gitara nicaraguensis,Acidoton nicaraguensis,direct kew
Gleditsia caspica,Gleditsia caspia,direct kew
Gliricidia ehrenbergii,Hybosema ehrenbergii,direct kew
Globulostylis cuvieroides,Cuviera cuvieroides,direct kew
Globulostylis leniochlamys,Cuviera leniochlamys,direct kew
Globulostylis minor,Cuviera wernhamii,direct kew
Gordonia brenesii,Gordonia brandegeei,direct kew
Gossweilerodendron balsamiferum,Prioria balsaminfera,direct kew
Grewia ambongoensis,Grewia ambongensis,direct kew
Grewia glyphaeoides,Grewia glyphaeoidcs,direct kew
Guapira hassleriana,Guapira hasslerana,direct kew
Guapira standleyana,Guapira myrtiflora,direct kew
Guatteria cinnamomea,Guatteria sanctaecrucis,direct kew
Guatteria geminiflora,Guatteria modesta,direct kew
Guatteria juninensis,Guatteria calliantha,direct kew
Guatteria juninensis,Guatteria glauca,direct kew
Guatteria juninensis,Guatteria guentheri,direct kew
Guatteria juninensis,Guatteria occidentalis,direct kew
Guatteria juninensis,Guatteria punctata,direct kew
Guatteria ucayalina,Guatteria schunkevigoi,direct kew
Guatteria ucayalina,Guatteria longipetiolata,direct kew
Guibourtia hymenaeifolia,Guibourtia hymenaefolia,direct kew
Gustavia occidentalis,Gustavia foliosa,direct kew
Gymnanthes edwalliana,Sebastiania edwalliana,direct kew
Gymnocladus dioicus,Gymnocladus dioica,direct kew
Gymnosporia gracilipes,Maytenus gracilipes,direct kew
Gynochthodes decipiens,Morinda decipiens,direct kew
Gynochthodes trimera,Morinda trimera,direct kew
Hakea chordophylla,Hakea chordophyila,direct kew
Halesia tetraptera,Halesia carolina,direct kew
Hamamelis mexicana,Hamamelis virginiana,direct kew
Hartogiopsis trilobocarpa,Hartogia trilobocarpa,direct kew
Hauya heydeana,Hauya elegans,direct kew
Havardia acatlensis,Sphinga acatlensis,direct kew
Haydenoxylon gentryi,Haydenia gentryi,direct kew
Haydenoxylon haberianum,Haydenia haberiana,direct kew
Haydenoxylon urbanianum,Haydenia urbaniana,direct kew
Helicia lanceolata,Heliciopsis lanceolata,direct kew
Heliotropium sarmentosum,Tournefortia hirsutissima,direct kew
Helmiopsiella ctenostegia,Dombeya ctenostegia,direct kew
Helmiopsiella poissonii,Dombeya poissonii,direct kew
Helmiopsis linearifolia,Dombeya linearifolia,direct kew
Helmiopsis rigida,Dombeya rigida,direct kew
Henriettea cuneata,Henriettella cuneata,direct kew
Henriettea fascicularis,Henriettea sylvestris,direct kew
Henriettea fascicularis,Henriettella fascicularis,direct kew
Henriettea seemannii,Henriettella seemannii,direct kew
Heritiera utilis,Tarrietia utilis,direct kew
Hibiscus archboldianus,Talipariti archboldianum,direct kew
Hibiscus ellipticifolius,Talipariti ellipticifolium,direct kew
Hibiscus glaber,Talipariti glabrum,direct kew
Hintonia lumana,Hintonia lumaeana,direct kew
Hirtella recurva,Couepia recurva,direct kew
Hispaniolanthus dolichopodus,Capparis dolichopoda,direct kew
Hoffmannanthus abbotianus,Vernonia brachycalyx,direct kew
Homalium letestui,Homalium le-testui,direct kew
Homalium patoklaense,Homalium lastoursvillense,direct kew
Homalium viridiflorum,Homalium viridflorum,direct kew
Homalolepis cavalcantei,Simaba cavalcantei,direct kew
Homalolepis cedron,Simaba cedron,direct kew
Homalolepis cuneata,Simaba cuneata,direct kew
Homalolepis morettii,Simaba morettii,direct kew
Homalolepis paraensis,Simaba paraensis,direct kew
Horsfieldia solomonensis,Horsfieldia tuberculata,direct kew
Hultholia mimosoides,Caesalpinia mimosoides,direct kew
Hydnocarpus alpinus,Hydnocarpus alpina,direct kew
Hydnocarpus castaneus,Hydnocarpus anthelminthicus,direct kew
Hydnocarpus castaneus,Hydnocarpus castanea,direct kew
Hydnocarpus heterophyllus,Hydnocarpus heterophylla,direct kew
Hydnocarpus ilicifolius,Hydnocarpus ilicifolia,direct kew
Hydnocarpus macrocarpus,Hydnocarpus macrocarpa,direct kew
Hydnocarpus sumatranus,Hydnocarpus sumatrana,direct kew
Hydriastele ledermanniana,Hydriastele chaunostachys,direct kew
Hymenandra callejasii,Ardisia callejasii,direct kew
Ilex amboroica,Ilex boliviana,direct kew
Ilex collina,Nemopanthus collinus,direct kew
Ilex gintungensis,Ilex cupreonitens,direct kew
Ilex gintungensis,Ilex marlipoensis,direct kew
Ilex gintungensis,Ilex venosa,direct kew
Ilex gintungensis,Ilex wattii,direct kew
Ilex longecaudata,Ilex longicaudata,direct kew
Ilex microsticta,Ilex microstricta,direct kew
Indigofera cloiselii,Vaughania cloiselii,direct kew
Indigofera depauperata,Vaughania depauperata,direct kew
Indigofera perrieri,Vaughania perrieri,direct kew
Inga aptera,Affonsea aptera,direct kew
Inga colonchensis,Inga chartacea,direct kew
Inga congesta,Affonsea bullata,direct kew
Inga edwallii,Affonsea edwallii,direct kew
Inga feuillei,Inga feuilleei,direct kew
Inga flexuosa,Inga davidsoniae,direct kew
Inga flexuosa,Inga hintonii,direct kew
Inga flexuosa,Inga schiedeana,direct kew
Inga globularis,Affonsea juglandifolia,direct kew
Inga grazielae,Affonsea grazielae,direct kew
Inga lomatophylla,Inga amazonica,direct kew
Inga marginata,Inga semialata,direct kew
Inga pedunculata,Affonsea pedunculata,direct kew
Inga pleiogyna,Affonsea densiflora,direct kew
Jailoloa halmaherensis,Ptychosperma halmaherense,direct kew
Jatropha stephani,Jatropha stephanii,direct kew
Juglans ailantifolia,Juglans mandshurica,direct kew
Juglans ailantifolia,Juglans ailanthifolia,direct kew
Juglans cathayensis,Juglans mandshurica,direct kew
Juglans cathayensis,Juglans ailanthifolia,direct kew
Juglans mexicana,Juglans mollis,direct kew
Juglans pyriformis,Juglans olanchana,direct kew
Karwinskia humboldtiana,Rhamnus humboldtiana,direct kew
Karwinskia pluvialis,Rhamnidium caloneurum,direct kew
Klaineanthus gaboniae,Klaineanthus gabonii,direct kew
Knema glomerata,Myristica glomerata,direct kew
Knema longepilosa,Knema longipilosa,direct kew
Koanophyllon hylonomum,Koanophyllon hylonoma,direct kew
Kumara plicatilis,Aloe plicatilis,direct kew
Lachesiodendron viridiflorum,Piptadenia viridiflora,direct kew
Lacunaria panamensis,Lacunaria crenata,direct kew
Lannea glabrescens,Lannea ebolowensis,direct kew
Laplacea fruticosa,Gordonia fruticosa,direct kew
Laplacea haematoxylon,Gordonia haematoxylon,direct kew
Lasiosiphon glaucus,Gnidia glauca,direct kew
Leandra loligomorpha,Ossaea loligomorpha,direct kew
Lepidaploa arborescens,Vernonia arborescens,direct kew
Leplaea cedrata,Guarea cedrata,direct kew
Leptactina arborescens,Dictyandra arborescens,direct kew
Leptactina congolana,Dictyandra congolana,direct kew
Leptolobium bijugum,Acosmium bijugum,direct kew
Leptolobium dasycarpum,Acosmium dasycarpum,direct kew
Leptolobium nitens,Acosmium nitens,direct kew
Leucaena cruziana,Leucaena lanceolata,direct kew
Libidibia coriaria,Caesalpinia coriaria,direct kew
Libidibia ebano,Caesalpinia ebano,direct kew
Libidibia monosperma,Stahlia monosperma,direct kew
Libidibia punctata,Caesalpinia ebano,direct kew
Libidibia sclerocarpa,Caesalpinia sclerocarpa,direct kew
Licania hebantha,Licania habantha,direct kew
Licania minuscula,Licania minutiflora,direct kew
Licania platycalyx,Couepia platycalyx,direct kew
Licaria cubensis,Misanteca cubensis,direct kew
Licaria herrerae,Gamanthera herrerae,direct kew
Licaria parvifolia,Misanteca parvifolia,direct kew
Licaria sericea,Misanteca sericea,direct kew
Licaria tenuifolia,Misanteca tenuifolia,direct kew
Limadendron hostmannii,Poecilanthe hostmannii,direct kew
Lindackeria bukobensis,Oncoba bukobensis,direct kew
Lindackeria dentata,Oncoba dentata,direct kew
Lindackeria schweinfurthii,Oncoba schweinfurthii,direct kew
Lindera meissneri,Lindera meisneri,direct kew
Linochilus antioquensis,Diplostephium antioquense,direct kew
Linochilus cinerascens,Diplostephium cinerascens,direct kew
Linochilus oblongifolius,Diplostephium oblongifolium,direct kew
Linochilus ochraceus,Diplostephium ochraceum,direct kew
Linochilus revolutus,Diplostephium revolutum,direct kew
Linochilus rosmarinifolius,Diplostephium rosmarinifolium,direct kew
Linochilus rupestris,Diplostephium rupestre,direct kew
Linochilus tenuifolius,Diplostephium tenuifolium,direct kew
Liquidambar chinensis,Altingia chinensis,direct kew
Lithocarpus monticola,Lithocarpus monticolus,direct kew
Lithocarpus submonticola,Lithocarpus submonticolus,direct kew
Litsea acuminata,Actinodaphne acuminata,direct kew
Litsea akoensis,Actinodaphne akoensis,direct kew
Litsea angulata,Tetranthera angulata,direct kew
Litsea cordata,Litsea mappacea,direct kew
Litsea lanceolata,Litsea sarawacensis,direct kew
Litsea longifolia,Litsea ligustrina,direct kew
Litsea pseudoelongata,Litsea pseudolongifolia,direct kew
Lonchocarpus andrieuxii,Willardia parviflora,direct kew
Lonchocarpus hedyosmus,Derris hedyosma,direct kew
Lonchocarpus nicou,Lonchocarpus heptaphyllus,direct kew
Lonchocarpus schiedeanus,Willardia schiedeana,direct kew
Lonchocarpus xuul,Lonchocarpus guatemalensis,direct kew
Lonchocarpus xuul,Lonchocarpus mexicanus,direct kew
Lophopetalum javanicum,Lophopetalum javanum,direct kew
Lorostemon colombianus,Lorostemon colombianum,direct kew
Luehea rufescens,Luehea grandiflora,direct kew
Luehea rufescens,Luehea seemannii,direct kew
Luehea rufescens,Luehea speciosa,direct kew
Lupinus jaimehintonianus,Lupinus jaimehintoniana,direct kew
Lychnocephalus tomentosus,Lychnophora tomentosa,direct kew
Lychnophora candelabrum,Lychnophoriopsis candelabrum,direct kew
Lysiloma auritum,Lysiloma aurita,direct kew
Lysiloma candidum,Lysiloma candida,direct kew
Lysiloma tergeminum,Lysiloma tergemina,direct kew
Machaerium hirtum,Machaerium glabripes,direct kew
Machaerium microphyllum,Machaerium isadelphum,direct kew
Machilus fruticosa,Persea fruticosa,direct kew
Machilus glaucescens,Persea macrantha,direct kew
Machilus odoratissima,Persea odoratissima,direct kew
Machilus philippinensis,Cinnamomum philippinense,direct kew
Magnolia dealbata,Magnolia macrophylla,direct kew
Maillardia montana,Maillardia pendula,direct kew
Maillardia montana,Trophis montana,direct kew
Malouetia cestroides,Malouetia arborea,direct kew
Malus chitralensis,Malus dasyphylla,direct kew
Malus chitralensis,Malus niedzwetzkyana,direct kew
Malus chitralensis,Malus sieversii,direct kew
Mangifera similis,Mangifera torquenda,direct kew
Manihot carthagenensis,Manihot carthaginensis,direct kew
Manihot glaziovii,Manihot carthaginensis,direct kew
Marsdenia crinita,Dregea crinita,direct kew
Maschalostachys markgrafii,Lychnophora markgravii,direct kew
Matisia cordata,Quararibea cordata,direct kew
Matisia cruceto,Quararibea cruceto,direct kew
Matisia dolichopoda,Quararibea dolichopoda,direct kew
Matisia dolichosiphon,Quararibea dolichosiphon,direct kew
Matisia dowdingii,Quararibea dowdingii,direct kew
Matisia hirta,Quararibea hirta,direct kew
Matisia jefensis,Quararibea jefensis,direct kew
Matisia leptandra,Quararibea leptandra,direct kew
Matisia longitubulosa,Quararibea longitubulosa,direct kew
Matisia malacocalyx,Quararibea malacocalyx,direct kew
Matisia obliquifolia,Matisia inaequilatera,direct kew
Matisia obliquifolia,Quararibea obliquifolia,direct kew
Matisia ochrocalyx,Quararibea ochrocalyx,direct kew
Matisia palenquiana,Quararibea palenquiana,direct kew
Matisia sanblasensis,Quararibea sanblasensis,direct kew
Matisia sclerophylla,Quararibea sclerophylla,direct kew
Mauloutchia humblotii,Brochoneura humblotii,direct kew
Meiogyne hainanensis,Chieniodendron hainanense,direct kew
Melaleuca citrina,Callistemon citrinus,direct kew
Melaleuca viminalis,Callistemon viminalis,direct kew
Melanochyla fulvinervis,Melanochyla fulvinervia,direct kew
Melanoxerus suavissimus,Euclinia suavissima,direct kew
Meriania brachycera,Centronia brachycera,direct kew
Meriania compressicaulis,Adelobotrys panamensis,direct kew
Meriania haemantha,Centronia haemantha,direct kew
Meriania mutisii,Centronia mutisii,direct kew
Meriania quintuplinervis,Meriania tolimana,direct kew
Meriania quintuplinervis,Meriania tuberculata,direct kew
Mesosphaerum oblongifolium,Hyptis oblongifolia,direct kew
Metternichia principis,Metternichia princeps,direct kew
Mezoneuron pubescens,Caesalpinia pubescens,direct kew
Miconia albertobrenesii,Ossaea brenesii,direct kew
Miconia amblyandra,Acinodendron amblyandrum,direct kew
Miconia aurantiaca,Clidemia aurantiaca,direct kew
Miconia ayisyena,Mecranium haitiense,direct kew
Miconia bahorucensis,Mecranium ovatum,direct kew
Miconia biolleyana,Clidemia biolleyana,direct kew
Miconia blakeifolia,Miconia blakeaefolia,direct kew
Miconia borinquensis,Mecranium latifolium,direct kew
Miconia bractiflora,Ossaea bracteata,direct kew
Miconia coronata,Acinodendron coronatum,direct kew
Miconia decipiens,Acinodendron decipiens,direct kew
Miconia divergens,Acinodendron divergens,direct kew
Miconia domingensis,Acinodendron domingense,direct kew
Miconia favosa,Acinodendron favosum,direct kew
Miconia ferruginea,Acinodendron ferrugineum,direct kew
Miconia furfuracea,Acinodendron furfuraceum,direct kew
Miconia goudotii,Acinodendron goudotii,direct kew
Miconia grandiflora,Acinodendron grandiflorum,direct kew
Miconia haemantha,Mecranium haemanthum,direct kew
Miconia heterophylla,Calycogonium heterophyllum,direct kew
Miconia hirticaulis,Mecranium puberulum,direct kew
Miconia hybophylla,Leandra hybophylla,direct kew
Miconia lanceolata,Acinodendron lanceolatum,direct kew
Miconia laxivenula,Ossaea laxivenula,direct kew
Miconia macrantha,Acinodendron macranthum,direct kew
Miconia magnifolia,Ossaea macrophylla,direct kew
Miconia majalis,Acinodendron majale,direct kew
Miconia marigotiana,Leandra marigotiana,direct kew
Miconia martinicensis,Acinodendron martinicense,direct kew
Miconia microdictya,Mecranium microdictyum,direct kew
Miconia miocarpa,Acinodendron miocarpum,direct kew
Miconia neoamygdalina,Mecranium amygdalinum,direct kew
Miconia neomicrantha,Ossaea micrantha,direct kew
Miconia ocampensis,Mecranium septentrionale,direct kew
Miconia ossaeiformis,Mecranium purpurascens,direct kew
Miconia pastoensis,Acinodendron pastoense,direct kew
Miconia pergamentacea,Acinodendron pergamentaceum,direct kew
Miconia piperifolia,Acinodendron piperifolium,direct kew
Miconia plethorica,Acinodendron plethoricum,direct kew
Miconia plicatifolia,Mecranium plicatum,direct kew
Miconia polyflora,Mecranium multiflorum,direct kew
Miconia puracensis,Miconia puracencis,direct kew
Miconia quadrangularis,Acinodendron quadrangulare,direct kew
Miconia quadridomius,Clidemia cuatrecasasii,direct kew
Miconia quintuplinervia,Acinodendron quintuplinerve,direct kew
Miconia reticulatovenosa,Calycogonium reticulatum,direct kew
Miconia revolutifolia,Mecranium revolutum,direct kew
Miconia rigida,Acinodendron rigidum,direct kew
Miconia rufoalpestris,Mecranium alpestre,direct kew
Miconia sintenisii,Acinodendron sintenisii,direct kew
Miconia spiciformis,Ossaea spicata,direct kew
Miconia stenobotrys,Acinodendron stenobotryum,direct kew
Miconia tenuis,Acinodendron tenue,direct kew
Miconia thomasiana,Acinodendron thomasianum,direct kew
Miconia trianae,Acinodendron trianae,direct kew
Miconia trichotoma,Acinodendron trichotomum,direct kew
Miconia tricostata,Mecranium tricostatum,direct kew
Miconia umbellata,Clidemia umbellata,direct kew
Miconia variabilis,Ossaea robusta,direct kew
Microcos coriacea,Grewia coriacea,direct kew
Microcos mildbraedii,Grewia mildbraedii,direct kew
Microcos oligoneura,Grewia oligoneura,direct kew
Microdesmia rigida,Licania rigida,direct kew
Micromeles cuspidata,Sorbus verrucosa,direct kew
Millettia penicillata,Millettia foliolosa,direct kew
Millettia pinnata,Pongamia pinnata,direct kew
Millettia xylocarpa,Millettia wrightiana,direct kew
Millettia xylocarpa,Millettia xylocarpia,direct kew
Mimosa laticifera,Mimosa obovata,direct kew
Mitragyna ledermannii,Fleroya ledermannii,direct kew
Mitragyna rubrostipulata,Fleroya rubrostipulata,direct kew
Mitragyna stipulosa,Fleroya stipulosa,direct kew
Molinaea alternifolia,Molinaea arborea,direct kew
Mollinedia minutiflora,Mollinedia viridiflora,direct kew
Monilicarpa tenuisiliqua,Capparidastrum tenuisiliquum,direct kew
Monodora undulata,Monodora brevipes,direct kew
Monotes africanus,Monotes africana,direct kew
Monteverdia amazonica,Maytenus amazonica,direct kew
Monteverdia apiculata,Maytenus apiculata,direct kew
Monteverdia apurimacensis,Maytenus apurimacensis,direct kew
Monteverdia ardisiifolia,Maytenus ardisiifolia,direct kew
Monteverdia basidentata,Maytenus basidentata,direct kew
Monteverdia belizensis,Maytenus belizensis,direct kew
Monteverdia brasiliensis,Maytenus brasiliensis,direct kew
Monteverdia cassineformis,Maytenus cassineformis,direct kew
Monteverdia catingarum,Maytenus catingarum,direct kew
Monteverdia cestrifolia,Maytenus cestrifolia,direct kew
Monteverdia chiapensis,Maytenus chiapensis,direct kew
Monteverdia communis,Maytenus communis,direct kew
Monteverdia crassipes,Maytenus crassipes,direct kew
Monteverdia distichophylla,Maytenus distichophylla,direct kew
Monteverdia domingensis,Maytenus domingensis,direct kew
Monteverdia duqueana,Maytenus duqueana,direct kew
Monteverdia ebenifolia,Maytenus ebenifolia,direct kew
Monteverdia eggersii,Maytenus eggersii,direct kew
Monteverdia elongata,Maytenus elongata,direct kew
Monteverdia evonymoides,Maytenus evonymoides,direct kew
Monteverdia ficiformis,Maytenus ficiformis,direct kew
Monteverdia glaucescens,Maytenus glaucescens,direct kew
Monteverdia haitiensis,Maytenus haitiensis,direct kew
Monteverdia horrida,Maytenus horrida,direct kew
Monteverdia huberi,Maytenus huberi,direct kew
Monteverdia ilicifolia,Maytenus ilicifolia,direct kew
Monteverdia jamaicensis,Maytenus jamaicensis,direct kew
Monteverdia jefeana,Maytenus jefeana,direct kew
Monteverdia kanukuensis,Maytenus kanukuensis,direct kew
Monteverdia karstenii,Maytenus karstenii,direct kew
Monteverdia krukovii,Maytenus krukovii,direct kew
Monteverdia krukovii,Maytenus macrocarpa,direct kew
Monteverdia laevigata,Maytenus laevigata,direct kew
Monteverdia laevis,Maytenus laevis,direct kew
Monteverdia laevis,Maytenus sapotiformis,direct kew
Monteverdia laurina,Maytenus laurina,direct kew
Monteverdia littoralis,Maytenus littoralis,direct kew
Monteverdia longifolia,Maytenus longifolia,direct kew
Monteverdia macrocarpa,Maytenus krukovii,direct kew
Monteverdia macrocarpa,Maytenus macrocarpa,direct kew
Monteverdia macrophylla,Maytenus macrophylla,direct kew
Monteverdia manabiensis,Maytenus manabiensis,direct kew
Monteverdia matudae,Maytenus matudae,direct kew
Monteverdia meguillensis,Maytenus meguillensis,direct kew
Monteverdia microcarpa,Maytenus microcarpa,direct kew
Monteverdia monticola,Maytenus monticola,direct kew
Monteverdia myrsinoides,Maytenus myrsinoides,direct kew
Monteverdia neblinae,Maytenus neblinae,direct kew
Monteverdia oblongata,Maytenus oblongata,direct kew
Monteverdia obtusifolia,Maytenus obtusifolia,direct kew
Monteverdia ocoensis,Maytenus ocoensis,direct kew
Monteverdia patens,Maytenus patens,direct kew
Monteverdia peruana,Maytenus peruana,direct kew
Monteverdia pittieriana,Maytenus pittieriana,direct kew
Monteverdia planifolia,Maytenus planifolia,direct kew
Monteverdia ponceana,Maytenus ponceana,direct kew
Monteverdia pruinosa,Maytenus pruinosa,direct kew
Monteverdia purpusii,Maytenus purpusii,direct kew
Monteverdia pustulata,Maytenus pustulata,direct kew
Monteverdia quadrangulata,Maytenus quadrangulata,direct kew
Monteverdia radlkoferiana,Maytenus radlkoferiana,direct kew
Monteverdia recondita,Maytenus recondita,direct kew
Monteverdia retusa,Maytenus retusa,direct kew
Monteverdia rigida,Maytenus rigida,direct kew
Monteverdia samydiformis,Maytenus samydiformis,direct kew
Monteverdia schippii,Maytenus schippii,direct kew
Monteverdia segoviarum,Maytenus segoviarum,direct kew
Monteverdia sieberiana,Maytenus longipes,direct kew
Monteverdia sieberiana,Maytenus sieberiana,direct kew
Monteverdia spinosa,Maytenus scutioides,direct kew
Monteverdia sprucei,Maytenus sprucei,direct kew
Monteverdia stipitata,Maytenus stipitata,direct kew
Monteverdia tikalensis,Maytenus tikalensis,direct kew
Moquilea guianensis,Licania guianensis,direct kew
Moquilea leucosepala,Licania leucosepala,direct kew
Moquilea minutiflora,Licania minutiflora,direct kew
Moquilea platypus,Licania platypus,direct kew
Moquilea pyrifolia,Licania pyrifolia,direct kew
Moquilea salzmannii,Licania salzmannii,direct kew
Moquilea tomentosa,Licania tomentosa,direct kew
Morella californica,Myrica californica,direct kew
Morella caroliniensis,Myrica heterophylla,direct kew
Morella inodora,Myrica inodora,direct kew
Morella picardae,Myrcia picardiae,direct kew
Morella rubra,Myrica rubra,direct kew
Morinda pacifica,Sarcopygme pacifica,direct kew
Morus japonica,Morus indica,direct kew
Mosiera moana,Hottea moana,direct kew
Moullava tortuosa,Caesalpinia tortuosa,direct kew
Muellera broadwayi,Lonchocarpus broadwayi,direct kew
Muellera campestris,Lonchocarpus campestris,direct kew
Muellera crucisrubierae,Lonchocarpus crucisrubierae,direct kew
Muellera fendleri,Lonchocarpus fendleri,direct kew
Muellera filipes,Lonchocarpus filipes,direct kew
Muellera lutea,Margaritolobium luteum,direct kew
Muellera monilis,Lonchocarpus monilis,direct kew
Muellera nudiflorens,Lonchocarpus nudiflorens,direct kew
Muellera obtusa,Lonchocarpus obtusus,direct kew
Muellera sericea,Bergeronia sericea,direct kew
