grid_id,n,pd,mpd,raoq,fric,fric_rad
48978,612,18653.7398055632,234.87241728704595,16.2924101828349,6672.7795984831255,3.0063417463375735
42490,1119,24140.3254235746,236.24483359299433,14.369299991878204,7594.0448415092515,3.0553371778174023
20096,236,8581.9741583062,381.59215391825666,23.794363892126892,7007.449688684073,3.024788397879356
37699,1487,31953.8918454524,242.02654939270641,16.626237120017596,18057.873104946448,3.4047350736193245
16263,27,2363.667342,250.09641747578348,18.19956596815931,31.00828927221878,1.536153893177392
19665,231,8565.8722471032,375.0647772915692,23.611457136396016,7008.593640005936,3.024850117258972
56547,91,4795.045321,319.3344233084249,27.184205233221167,1769.6198634037946,2.5467422783164553
11287,18,1215.768427,317.7923565816993,14.307902118400497,0.21581260903207736,0.8255808334461717
12475,10,936.396488,284.1625520888889,13.725583298922349,9.353020749615596e-4,0.4181855164099236
22417,140,6607.991214,361.88852960996917,18.843825694449162,838.8699743415697,2.319860291511213
32730,262,11381.131533037,273.3707837159094,18.711135272466944,3794.5079910049535,2.801524558967221
15369,91,4542.808788,339.440660635409,20.07000791997271,732.7664185348428,2.2809758898595267
11707,6,731.5567360000001,367.9332473333333,15.924645775146029,NA,NA
6367,1,0,0,0,NA,NA
11526,18,1435.63283,394.618752,17.82340399155534,1.8800371194477987,1.0821084864390944
49417,794,20819.9861931324,232.95502137361643,16.589004821628944,9436.10146637168,3.139417503267548
19104,44,2455.228485,278.03843796828755,18.275254769739306,88.55441860531941,1.751464259538646
14935,100,4902.423605,336.3026189137374,20.898712187793986,1022.0016931151451,2.3778335580961785
53080,99,5454.686651006,299.2103731833824,25.20733597311969,1536.5373260595582,2.5021762026205163
3208,1,0,0,0,NA,NA
46906,201,8596.5361505336,244.0923944494388,18.169399973054812,2400.151083650127,2.645634361405575
27535,63,4120.101276,323.8921657951869,17.763275279870772,173.46258003529024,1.9050252010463908
22799,21,1898.93587,328.3802776857143,15.335319926770733,2.6931808475861625,1.1318351826144244
17551,50,3210.696774,269.9511396146939,20.7351781076562,233.66850689709554,1.9773111845869384
52846,251,10448.3832315446,238.9407131181558,19.087832341391536,2890.868032079249,2.707874504956698
22994,90,5359.018943,302.7179471730337,19.42690853811414,868.7351034464111,2.3300268269004163
9990,11,979.189753,282.13530458181816,11.076097708941274,0.001520752175274297,0.4443828662308034
22753,33,2614.600667,270.30255186742426,17.7566061407454,36.281175235481136,1.5666073807781538
